Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,100,"+0,30%",.,4021
fev/22,"101,5","+1,47%",.,4080
mar/22,"103,5","+2,00%",.,4162
abr/22,"107,1","+3,50%",.,4307
mai/22,111,"+3,59%",.,4462
jun/22,"114,4","+3,12%",.,4601
jul/22,"115,1","+0,56%",.,4626
ago/22,"114,2"," -0,71%",.,4593
set/22,113," -1,09%",.,4543
out/22,"110,9"," -1,84%",.,4460
nov/22,"108,1"," -2,53%",.,4347
dez/22,"106,7"," -1,35%","+6,98%",4288
jan/23,"105,2"," -1,38%","+5,18%",4229
fev/23,"103,6"," -1,48%","+2,12%",4167
mar/23,"102,7"," -0,88%"," -0,76%",4130
abr/23,"104,5","+1,78%"," -2,41%",4203
mai/23,"108,6","+3,84%"," -2,17%",4365
jun/23,"111,4","+2,59%"," -2,68%",4478
jul/23,"111,5","+0,14%"," -3,08%",4484
ago/23,"111,8","+0,28%"," -2,11%",4496
set/23,112,"+0,19%"," -0,85%",4505
out/23,113,"+0,89%","+1,91%",4545
nov/23,113," -0,05%","+4,50%",4543
dez/23,"112,9"," -0,04%","+5,89%",4541
jan/24,"112,9"," -0,02%","+7,34%",4540
fev/24,"112,8"," -0,13%","+8,81%",4534
mar/24,"112,7"," -0,02%","+9,76%",4533
abr/24,"113,1","+0,32%","+8,18%",4547
mai/24,"114,1","+0,92%","+5,14%",4589
jun/24,116,"+1,66%","+4,19%",4665
jul/24,"117,4","+1,18%","+5,27%",4720
ago/24,"119,1","+1,43%","+6,48%",4788
set/24,"121,6","+2,10%","+8,52%",4889
out/24,"124,4","+2,34%","+10,07%",5003
nov/24,"127,3","+2,34%","+12,71%",5120
dez/24,"128,5","+0,92%","+13,79%",5167
jan/25,"128,2"," -0,25%","+13,54%",5155
fev/25,"127,1"," -0,82%","+12,75%",5112
mar/25,"127,3","+0,13%","+12,92%",5119
abr/25,"128,6","+1,00%","+13,70%",5170
mai/25,"128,6","+0,00%","+12,67%",5170
