Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,100,"+4,63%",.,17
fev/22,"101,1","+1,07%",.,"17,1"
mar/22,"99,5"," -1,58%",.,"16,9"
abr/22,"96,4"," -3,05%",.,"16,4"
mai/22,"95,8"," -0,68%",.,"16,2"
jun/22,"97,3","+1,61%",.,"16,5"
jul/22,"100,1","+2,84%",.,17
ago/22,102,"+1,96%",.,"17,3"
set/22,"102,9","+0,86%",.,"17,5"
out/22,"103,1","+0,21%",.,"17,5"
nov/22,"102,1"," -1,01%",.,"17,3"
dez/22,"101,6"," -0,53%","+6,26%","17,2"
jan/23,"102,3","+0,74%","+2,31%","17,3"
fev/23,"100,9"," -1,37%"," -0,16%","17,1"
mar/23,"99,6"," -1,32%","+0,11%","16,9"
abr/23,"100,6","+1,01%","+4,30%","17,1"
mai/23,"104,8","+4,15%","+9,37%","17,8"
jun/23,"107,2","+2,30%","+10,11%","18,2"
jul/23,"111,7","+4,21%","+11,58%","18,9"
ago/23,"115,2","+3,11%","+12,84%","19,5"
set/23,"119,4","+3,68%","+16,01%","20,2"
out/23,"123,7","+3,64%","+19,97%",21
nov/23,"126,2","+1,97%","+23,58%","21,4"
dez/23,"127,6","+1,13%","+25,64%","21,6"
jan/24,"127,4"," -0,14%","+24,54%","21,6"
fev/24,132,"+3,57%","+30,78%","22,4"
mar/24,"141,1","+6,92%","+41,69%","23,9"
abr/24,"148,8","+5,47%","+47,94%","25,2"
mai/24,"151,3","+1,65%","+44,39%","25,6"
jun/24,"153,3","+1,33%","+43,02%",26
jul/24,"152,4"," -0,59%","+36,44%","25,8"
ago/24,"148,6"," -2,46%","+29,07%","25,2"
set/24,"144,7"," -2,62%","+21,23%","24,5"
out/24,"139,9"," -3,36%","+13,04%","23,7"
nov/24,140,"+0,11%","+10,99%","23,7"
dez/24,"141,3","+0,91%","+10,75%",24
jan/25,"143,5","+1,57%","+12,65%","24,3"
fev/25,"149,9","+4,42%","+13,57%","25,4"
mar/25,"151,6","+1,15%","+7,44%","25,7"
abr/25,"155,9","+2,84%","+4,77%","26,4"
mai/25,,,,
