Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/20,"152,1"," -0,78%"," -8,79%",5725
fev/20,"151,9"," -0,08%"," -9,08%",5720
mar/20,"151,4"," -0,33%"," -9,00%",5701
abr/20,"151,1"," -0,24%"," -9,11%",5688
mai/20,"150,9"," -0,08%"," -8,68%",5683
jun/20,"151,2","+0,16%"," -8,44%",5692
jul/20,"151,9","+0,47%"," -7,94%",5719
ago/20,"152,6","+0,47%"," -7,25%",5746
set/20,"153,4","+0,52%"," -6,27%",5776
out/20,"154,6","+0,79%"," -3,73%",5822
nov/20,"155,7","+0,71%"," -1,32%",5863
dez/20,"157,4","+1,12%","+2,74%",5928
jan/21,"157,2"," -0,13%","+3,41%",5920
fev/21,"156,9"," -0,21%","+3,28%",5908
mar/21,"156,2"," -0,44%","+3,17%",5882
abr/21,"156,1"," -0,06%","+3,35%",5878
mai/21,"157,1","+0,61%","+4,07%",5915
jun/21,"158,2","+0,72%","+4,66%",5957
jul/21,"160,1","+1,18%","+5,40%",6028
ago/21,"161,4","+0,82%","+5,75%",6077
set/21,"162,3","+0,58%","+5,82%",6112
out/21,"163,7","+0,84%","+5,88%",6164
nov/21,"164,9","+0,76%","+5,93%",6211
dez/21,"166,2","+0,75%","+5,54%",6257
jan/22,"167,4","+0,71%","+6,44%",6302
fev/22,"169,3","+1,18%","+7,92%",6376
mar/22,"171,7","+1,41%","+9,92%",6466
abr/22,"172,8","+0,65%","+10,70%",6508
mai/22,"173,4","+0,34%","+10,41%",6530
jun/22,"173,8","+0,20%","+9,83%",6543
jul/22,"174,8","+0,62%","+9,21%",6583
ago/22,"175,9","+0,64%","+9,02%",6625
set/22,"176,7","+0,42%","+8,85%",6653
out/22,"177,7","+0,56%","+8,55%",6691
nov/22,"178,8","+0,64%","+8,41%",6733
dez/22,"179,9","+0,63%","+8,29%",6775
jan/23,"181,3","+0,73%","+8,30%",6825
fev/23,"181,7","+0,27%","+7,33%",6843
mar/23,"182,5","+0,44%","+6,31%",6873
abr/23,"183,3","+0,39%","+6,03%",6900
mai/23,"184,5","+0,65%","+6,36%",6945
jun/23,"186,4","+1,05%","+7,26%",7018
jul/23,"187,9","+0,79%","+7,45%",7073
ago/23,"188,8","+0,49%","+7,29%",7108
set/23,"188,7"," -0,06%","+6,78%",7104
out/23,"188,9","+0,14%","+6,33%",7114
nov/23,"189,4","+0,24%","+5,91%",7131
dez/23,"189,6","+0,12%","+5,37%",7139
jan/24,"189,8","+0,10%","+4,72%",7147
fev/24,"190,9","+0,56%","+5,02%",7187
mar/24,"192,3","+0,76%","+5,35%",7241
abr/24,"194,1","+0,93%","+5,92%",7309
mai/24,"195,2","+0,59%","+5,85%",7351
jun/24,"196,9","+0,83%","+5,62%",7412
jul/24,"199,1","+1,15%","+6,00%",7498
ago/24,"202,4","+1,64%","+7,21%",7620
set/24,"204,6","+1,10%","+8,45%",7704
out/24,"206,2","+0,79%","+9,15%",7765
nov/24,"208,3","+1,00%","+9,98%",7843
dez/24,"211,4","+1,49%","+11,49%",7960
jan/25,"214,2","+1,31%","+12,83%",8064
fev/25,"215,3","+0,50%","+12,78%",8105
mar/25,"215,8","+0,27%","+12,23%",8127
abr/25,218,"+1,02%","+12,33%",8209
mai/25,"220,6","+1,17%","+12,98%",8305
