Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,100,"+1,60%",.,"27,3"
fev/22,"103,1","+3,14%",.,"28,2"
mar/22,"105,1","+1,92%",.,"28,7"
abr/22,"107,6","+2,40%",.,"29,4"
mai/22,109,"+1,28%",.,"29,8"
jun/22,"110,4","+1,28%",.,"30,1"
jul/22,"111,7","+1,15%",.,"30,5"
ago/22,113,"+1,14%",.,"30,8"
set/22,"113,9","+0,81%",.,"31,1"
out/22,"114,4","+0,50%",.,"31,2"
nov/22,"113,3"," -0,98%",.,"30,9"
dez/22,"114,3","+0,90%","+16,16%","31,2"
jan/23,"116,8","+2,12%","+16,76%","31,9"
fev/23,"120,6","+3,26%","+16,89%","32,9"
mar/23,"123,4","+2,39%","+17,43%","33,7"
abr/23,"124,6","+0,92%","+15,73%",34
mai/23,"125,7","+0,93%","+15,34%","34,3"
jun/23,"127,4","+1,36%","+15,42%","34,8"
jul/23,"129,3","+1,45%","+15,77%","35,3"
ago/23,"130,7","+1,06%","+15,67%","35,7"
set/23,"130,9","+0,18%","+14,96%","35,7"
out/23,"132,1","+0,94%","+15,46%","36,1"
nov/23,"134,3","+1,66%","+18,54%","36,7"
dez/23,"137,4","+2,30%","+20,19%","37,5"
jan/24,"139,2","+1,31%","+19,23%",38
fev/24,"141,2","+1,42%","+17,10%","38,5"
mar/24,"142,1","+0,65%","+15,11%","38,8"
abr/24,"144,1","+1,41%","+15,68%","39,3"
mai/24,"144,6","+0,36%","+15,02%","39,5"
jun/24,"145,8","+0,80%","+14,39%","39,8"
jul/24,"145,9","+0,11%","+12,88%","39,8"
ago/24,"146,4","+0,34%","+12,08%",40
set/24,"146,6","+0,12%","+12,01%",40
out/24,148,"+0,95%","+12,02%","40,4"
nov/24,"149,2","+0,80%","+11,08%","40,7"
dez/24,"151,4","+1,45%","+10,15%","41,3"
jan/25,"154,9","+2,35%","+11,29%","42,3"
fev/25,"158,9","+2,54%","+12,52%","43,4"
mar/25,"161,5","+1,67%","+13,66%","44,1"
abr/25,"162,9","+0,83%","+13,01%","44,4"
mai/25,,,,
