Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,"95,2","+2,46%",.,"34,5"
fev/22,100,"+5,09%",.,"36,2"
mar/22,"105,9","+5,86%",.,"38,4"
abr/22,"107,8","+1,86%",.,"39,1"
mai/22,"107,8"," -0,00%",.,"39,1"
jun/22,"106,7"," -1,07%",.,"38,7"
jul/22,"107,6","+0,84%",.,39
ago/22,108,"+0,36%",.,"39,1"
set/22,"110,2","+2,07%",.,"39,9"
out/22,"111,8","+1,50%",.,"40,5"
nov/22,"113,7","+1,67%",.,"41,2"
dez/22,"115,6","+1,65%","+24,46%","41,9"
jan/23,"118,6","+2,61%","+24,63%",43
fev/23,"122,9","+3,63%","+22,91%","44,5"
mar/23,125,"+1,71%","+18,08%","45,3"
abr/23,"126,2","+0,93%","+17,00%","45,7"
mai/23,"124,7"," -1,17%","+15,64%","45,2"
jun/23,"124,5"," -0,13%","+16,75%","45,1"
jul/23,"123,8"," -0,58%","+15,09%","44,9"
ago/23,"123,2"," -0,50%","+14,10%","44,6"
set/23,124,"+0,67%","+12,54%","44,9"
out/23,"125,4","+1,16%","+12,16%","45,5"
nov/23,"127,6","+1,68%","+12,17%","46,2"
dez/23,"130,5","+2,31%","+12,91%","47,3"
jan/24,"132,9","+1,82%","+12,04%","48,2"
fev/24,"135,4","+1,92%","+10,20%","49,1"
mar/24,"134,8"," -0,44%","+7,87%","48,9"
abr/24,"133,1"," -1,30%","+5,49%","48,2"
mai/24,132," -0,83%","+5,84%","47,8"
jun/24,"131,4"," -0,43%","+5,53%","47,6"
jul/24,"132,1","+0,49%","+6,67%","47,9"
ago/24,"132,3","+0,19%","+7,41%",48
set/24,"132,2"," -0,11%","+6,57%","47,9"
out/24,"131,5"," -0,48%","+4,85%","47,7"
nov/24,"132,6","+0,82%","+3,96%","48,1"
dez/24,"134,9","+1,72%","+3,35%","48,9"
jan/25,"137,5","+1,97%","+3,51%","49,8"
fev/25,"140,7","+2,29%","+3,88%",51
mar/25,"143,8","+2,21%","+6,64%","52,1"
abr/25,"145,5","+1,21%","+9,35%","52,7"
mai/25,,,,
