Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,"125,3","+1,65%","+18,31%",6488
fev/22,"126,8","+1,15%","+17,93%",6563
mar/22,"127,9","+0,87%","+17,33%",6620
abr/22,"127,7"," -0,09%","+15,50%",6614
mai/22,128,"+0,18%","+14,67%",6626
jun/22,"128,9","+0,71%","+14,56%",6673
jul/22,"130,7","+1,40%","+15,30%",6767
ago/22,132,"+1,03%","+14,47%",6836
set/22,"133,6","+1,21%","+14,35%",6919
out/22,"135,4","+1,30%","+14,02%",7009
nov/22,"137,8","+1,80%","+14,21%",7135
dez/22,"139,6","+1,29%","+13,22%",7227
jan/23,"141,1","+1,10%","+12,61%",7306
fev/23,"142,5","+1,02%","+12,46%",7381
mar/23,"144,4","+1,30%","+12,94%",7476
abr/23,"146,7","+1,58%","+14,82%",7594
mai/23,"149,1","+1,65%","+16,50%",7720
jun/23,"151,5","+1,60%","+17,53%",7843
jul/23,"153,6","+1,38%","+17,51%",7951
ago/23,"155,2","+1,09%","+17,58%",8038
set/23,"157,2","+1,25%","+17,62%",8138
out/23,"159,2","+1,31%","+17,64%",8245
nov/23,"161,1","+1,18%","+16,92%",8342
dez/23,"161,9","+0,49%","+16,00%",8383
jan/24,"162,8","+0,53%","+15,35%",8427
fev/24,"164,3","+0,92%","+15,23%",8505
mar/24,"165,7","+0,90%","+14,78%",8581
abr/24,"168,1","+1,40%","+14,58%",8701
mai/24,"170,2","+1,27%","+14,15%",8812
jun/24,"172,1","+1,14%","+13,63%",8912
jul/24,172," -0,05%","+12,03%",8908
ago/24,"171,7"," -0,22%","+10,57%",8888
set/24,"171,7","+0,01%","+9,22%",8889
out/24,"173,5","+1,06%","+8,96%",8983
nov/24,"176,1","+1,50%","+9,30%",9118
dez/24,"178,9","+1,59%","+10,50%",9263
jan/25,"180,4","+0,85%","+10,85%",9342
fev/25,"181,1","+0,40%","+10,28%",9379
mar/25,"180,4"," -0,42%","+8,83%",9339
abr/25,"179,7"," -0,35%","+6,96%",9307
mai/25,"179,9","+0,09%","+5,71%",9315
