Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,100,"+0,86%",.,"24,3"
fev/22,"101,9","+1,87%",.,"24,8"
mar/22,"103,7","+1,75%",.,"25,2"
abr/22,"107,6","+3,79%",.,"26,1"
mai/22,"112,7","+4,74%",.,"27,4"
jun/22,"116,3","+3,19%",.,"28,2"
jul/22,"119,9","+3,16%",.,"29,1"
ago/22,"121,4","+1,19%",.,"29,5"
set/22,"123,6","+1,86%",.,30
out/22,"123,9","+0,22%",.,"30,1"
nov/22,"124,4","+0,37%",.,"30,2"
dez/22,"125,5","+0,95%","+26,63%","30,5"
jan/23,"126,2","+0,52%","+26,20%","30,7"
fev/23,"127,8","+1,28%","+25,46%","31,1"
mar/23,"127,9","+0,10%","+23,43%","31,1"
abr/23,"129,8","+1,42%","+20,62%","31,5"
mai/23,"130,9","+0,84%","+16,13%","31,8"
jun/23,"133,1","+1,73%","+14,49%","32,3"
jul/23,"134,3","+0,93%","+12,01%","32,6"
ago/23,"134,8","+0,30%","+11,02%","32,7"
set/23,"136,4","+1,25%","+10,36%","33,1"
out/23,"137,5","+0,80%","+11,00%","33,4"
nov/23,138,"+0,31%","+10,93%","33,5"
dez/23,"136,7"," -0,92%","+8,88%","33,2"
jan/24,"135,6"," -0,79%","+7,46%","32,9"
fev/24,"137,2","+1,14%","+7,31%","33,3"
mar/24,"140,6","+2,50%","+9,88%","34,2"
abr/24,"142,8","+1,59%","+10,06%","34,7"
mai/24,"144,4","+1,13%","+10,38%","35,1"
jun/24,"144,7","+0,21%","+8,73%","35,2"
jul/24,"145,9","+0,77%","+8,56%","35,4"
ago/24,"146,4","+0,37%","+8,64%","35,6"
set/24,148,"+1,12%","+8,49%",36
out/24,"150,2","+1,48%","+9,23%","36,5"
nov/24,"151,4","+0,82%","+9,78%","36,8"
dez/24,"151,8","+0,22%","+11,04%","36,9"
jan/25,"153,1","+0,87%","+12,90%","37,2"
fev/25,"155,5","+1,55%","+13,36%","37,8"
mar/25,"158,2","+1,77%","+12,55%","38,4"
abr/25,"160,8","+1,60%","+12,57%","39,1"
mai/25,,,,
