Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,100,"+1,29%",.,4520
fev/22,"101,3","+1,27%",.,4578
mar/22,"102,7","+1,40%",.,4642
abr/22,"103,6","+0,85%",.,4681
mai/22,104,"+0,47%",.,4703
jun/22,104," -0,07%",.,4700
jul/22,"103,9"," -0,04%",.,4698
ago/22,"104,3","+0,35%",.,4715
set/22,105,"+0,64%",.,4745
out/22,"105,9","+0,89%",.,4788
nov/22,"106,3","+0,38%",.,4806
dez/22,"106,9","+0,54%","+8,28%",4832
jan/23,"107,4","+0,45%","+7,37%",4854
fev/23,"108,9","+1,39%","+7,50%",4921
mar/23,"109,8","+0,87%","+6,94%",4964
abr/23,111,"+1,04%","+7,14%",5016
mai/23,"110,4"," -0,50%","+6,11%",4991
jun/23,"110,4","+0,04%","+6,22%",4992
jul/23,"109,9"," -0,46%","+5,77%",4969
ago/23,"110,7","+0,68%","+6,12%",5003
set/23,"111,6","+0,84%","+6,33%",5045
out/23,"113,3","+1,48%","+6,95%",5120
nov/23,"114,2","+0,79%","+7,38%",5161
dez/23,"114,7","+0,44%","+7,28%",5184
jan/24,"115,7","+0,85%","+7,71%",5228
fev/24,"116,8","+1,00%","+7,29%",5280
mar/24,"118,1","+1,08%","+7,51%",5337
abr/24,"119,1","+0,85%","+7,31%",5382
mai/24,"120,3","+1,03%","+8,95%",5437
jun/24,"121,2","+0,79%","+9,78%",5480
jul/24,"122,5","+1,06%","+11,45%",5539
ago/24,"123,6","+0,87%","+11,66%",5587
set/24,"124,5","+0,73%","+11,54%",5628
out/24,"124,4"," -0,07%","+9,83%",5624
nov/24,"124,6","+0,15%","+9,14%",5632
dez/24,"124,4"," -0,13%","+8,51%",5625
jan/25,"125,1","+0,54%","+8,18%",5655
fev/25,"125,9","+0,62%","+7,77%",5690
mar/25,"127,8","+1,49%","+8,21%",5775
abr/25,"128,5","+0,58%","+7,92%",5808
mai/25,"129,7","+0,93%","+7,82%",5862
