Data,Numero_Indice_Total,Var. Mensal (%) Total,Var. em 12 meses (%)Total,Preço médio (R$/m²) Total
jan/20,"195,5","+0,00%"," -1,23%",6228
fev/20,"194,9"," -0,32%"," -1,43%",6208
mar/20,"193,8"," -0,55%"," -1,55%",6174
abr/20,"193,4"," -0,21%"," -1,61%",6161
mai/20,"190,6"," -1,47%"," -2,63%",6070
jun/20,"187,9"," -1,38%"," -4,02%",5986
jul/20,"184,7"," -1,72%"," -5,54%",5883
ago/20,"185,9","+0,67%"," -4,82%",5923
set/20,"188,2","+1,20%"," -3,49%",5994
out/20,"191,3","+1,68%"," -1,65%",6094
nov/20,"193,7","+1,22%"," -0,56%",6168
dez/20,"194,8","+0,59%"," -0,38%",6204
jan/21,195,"+0,10%"," -0,28%",6210
fev/21,"194,9"," -0,06%"," -0,02%",6206
mar/21,"194,9","+0,01%","+0,53%",6207
abr/21,"195,4","+0,29%","+1,04%",6225
mai/21,"196,5","+0,56%","+3,12%",6259
jun/21,"197,6","+0,54%","+5,13%",6293
jul/21,"198,7","+0,59%","+7,60%",6330
ago/21,"199,5","+0,38%","+7,28%",6354
set/21,"200,1","+0,33%","+6,36%",6375
out/21,"200,9","+0,39%","+5,01%",6400
nov/21,"202,1","+0,60%","+4,37%",6438
dez/21,203,"+0,42%","+4,20%",6465
jan/22,"203,6","+0,30%","+4,41%",6484
fev/22,"204,3","+0,33%","+4,82%",6506
mar/22,"205,1","+0,40%","+5,23%",6532
abr/22,"207,6","+1,25%","+6,25%",6614
mai/22,"210,3","+1,26%","+6,99%",6697
jun/22,"213,1","+1,37%","+7,87%",6789
jul/22,"214,2","+0,50%","+7,78%",6823
ago/22,"215,1","+0,40%","+7,80%",6850
set/22,"216,8","+0,82%","+8,34%",6906
out/22,"219,7","+1,32%","+9,34%",6997
nov/22,"223,5","+1,75%","+10,60%",7120
dez/22,226,"+1,11%","+11,35%",7199
jan/23,"227,2","+0,51%","+11,58%",7236
fev/23,"227,1"," -0,02%","+11,19%",7234
mar/23,"228,4","+0,59%","+11,40%",7276
abr/23,"230,4","+0,85%","+10,96%",7338
mai/23,"232,5","+0,93%","+10,60%",7407
jun/23,234,"+0,64%","+9,81%",7454
jul/23,"234,7","+0,28%","+9,57%",7476
ago/23,"235,1","+0,16%","+9,31%",7488
set/23,"234,5"," -0,24%","+8,15%",7469
out/23,"234,9","+0,16%","+6,91%",7481
nov/23,"235,8","+0,39%","+5,48%",7510
dez/23,"237,8","+0,84%","+5,21%",7573
jan/24,"239,1","+0,54%","+5,24%",7615
fev/24,"241,5","+1,04%","+6,36%",7694
mar/24,"244,7","+1,31%","+7,12%",7794
abr/24,"247,7","+1,24%","+7,52%",7891
mai/24,"249,2","+0,60%","+7,17%",7938
jun/24,"249,1"," -0,03%","+6,45%",7935
jul/24,250,"+0,36%","+6,54%",7964
ago/24,"250,7","+0,25%","+6,63%",7984
set/24,"252,1","+0,56%","+7,49%",8029
out/24,"253,1","+0,40%","+7,75%",8061
nov/24,"253,3","+0,10%","+7,44%",8069
dez/24,"253,6","+0,09%","+6,64%",8076
jan/25,"253,1"," -0,18%","+5,87%",8062
fev/25,"253,7","+0,25%","+5,05%",8082
mar/25,"254,1","+0,16%","+3,86%",8095
abr/25,"254,7","+0,21%","+2,81%",8112
mai/25,"256,1","+0,55%","+2,76%",8157
