Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,"111,7","+1,57%","+5,13%","26,7"
fev/22,"114,5","+2,45%","+6,30%","27,4"
mar/22,"117,8","+2,91%","+8,96%","28,2"
abr/22,122,"+3,51%","+12,85%","29,2"
mai/22,"124,9","+2,45%","+15,73%","29,9"
jun/22,"126,8","+1,49%","+17,24%","30,3"
jul/22,"127,4","+0,47%","+17,04%","30,5"
ago/22,127," -0,30%","+16,21%","30,4"
set/22,"127,3","+0,19%","+16,10%","30,4"
out/22,"127,1"," -0,12%","+16,02%","30,4"
nov/22,"128,1","+0,79%","+16,96%","30,6"
dez/22,"128,2","+0,11%","+16,56%","30,7"
jan/23,"129,1","+0,66%","+15,51%","30,9"
fev/23,"131,6","+1,97%","+14,96%","31,5"
mar/23,"134,5","+2,15%","+14,12%","32,2"
abr/23,"136,8","+1,76%","+12,19%","32,7"
mai/23,137,"+0,15%","+9,68%","32,8"
jun/23,"136,7"," -0,22%","+7,83%","32,7"
jul/23,"137,5","+0,55%","+7,92%","32,9"
ago/23,"138,8","+0,95%","+9,27%","33,2"
set/23,"139,7","+0,66%","+9,78%","33,4"
out/23,140,"+0,21%","+10,14%","33,5"
nov/23,"141,2","+0,87%","+10,23%","33,8"
dez/23,144,"+2,00%","+12,31%","34,4"
jan/24,"147,4","+2,32%","+14,17%","35,2"
fev/24,"150,1","+1,88%","+14,07%","35,9"
mar/24,"153,3","+2,13%","+14,05%","36,7"
abr/24,"156,4","+2,03%","+14,35%","37,4"
mai/24,"161,1","+2,96%","+17,54%","38,5"
jun/24,"163,5","+1,51%","+19,58%","39,1"
jul/24,"167,5","+2,42%","+21,80%",40
ago/24,"171,2","+2,23%","+23,35%","40,9"
set/24,"177,5","+3,67%","+27,04%","42,4"
out/24,"182,1","+2,63%","+30,11%","43,6"
nov/24,"186,7","+2,52%","+32,24%","44,7"
dez/24,"191,7","+2,64%","+33,07%","45,8"
jan/25,"196,5","+2,55%","+33,37%",47
fev/25,"202,1","+2,82%","+34,61%","48,3"
mar/25,"204,1","+0,97%","+33,08%","48,8"
abr/25,"204,1","+0,02%","+30,46%","48,8"
mai/25,,,,
