Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,"159,6","+0,49%","+2,01%",5282
fev/22,161,"+0,89%","+3,27%",5329
mar/22,"162,3","+0,83%","+4,00%",5373
abr/22,"163,2","+0,55%","+3,91%",5403
mai/22,164,"+0,49%","+3,52%",5429
jun/22,"165,3","+0,77%","+3,90%",5471
jul/22,"167,2","+1,18%","+5,22%",5535
ago/22,"168,6","+0,82%","+6,29%",5581
set/22,"169,4","+0,46%","+6,78%",5606
out/22,"169,2"," -0,10%","+6,64%",5601
nov/22,"169,1"," -0,05%","+6,70%",5597
dez/22,"168,3"," -0,48%","+5,98%",5571
jan/23,"169,1","+0,46%","+5,96%",5597
fev/23,"170,7","+0,95%","+6,02%",5650
mar/23,"172,7","+1,20%","+6,41%",5718
abr/23,"174,2","+0,85%","+6,73%",5766
mai/23,"174,8","+0,33%","+6,57%",5785
jun/23,"175,9","+0,66%","+6,44%",5824
jul/23,"177,3","+0,76%","+6,00%",5868
ago/23,"178,3","+0,61%","+5,78%",5903
set/23,179,"+0,35%","+5,67%",5924
out/23,179," -0,01%","+5,77%",5924
nov/23,"178,6"," -0,20%","+5,62%",5912
dez/23,178," -0,33%","+5,77%",5892
jan/24,"178,4","+0,24%","+5,54%",5906
fev/24,"180,5","+1,15%","+5,75%",5974
mar/24,"182,7","+1,26%","+5,80%",6049
abr/24,184,"+0,71%","+5,65%",6092
mai/24,"186,2","+1,18%","+6,54%",6164
jun/24,"189,1","+1,54%","+7,47%",6259
jul/24,"193,7","+2,44%","+9,26%",6411
ago/24,"197,7","+2,07%","+10,85%",6544
set/24,201,"+1,67%","+12,30%",6653
out/24,"203,2","+1,12%","+13,57%",6728
nov/24,"204,4","+0,57%","+14,45%",6766
dez/24,"207,2","+1,35%","+16,38%",6857
jan/25,"210,5","+1,64%","+18,00%",6970
fev/25,215,"+2,10%","+19,11%",7116
mar/25,"218,6","+1,69%","+19,62%",7236
abr/25,222,"+1,56%","+20,63%",7349
mai/25,225,"+1,36%","+20,85%",7449
