Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,100,"+8,33%",.,"34,7"
fev/22,"105,6","+5,64%",.,"36,7"
mar/22,106,"+0,34%",.,"36,8"
abr/22,"106,5","+0,46%",.,37
mai/22,"108,2","+1,58%",.,"37,6"
jun/22,"109,5","+1,24%",.,38
jul/22,"111,2","+1,51%",.,"38,6"
ago/22,113,"+1,60%",.,"39,2"
set/22,"114,9","+1,72%",.,"39,9"
out/22,117,"+1,87%",.,"40,6"
nov/22,"118,7","+1,39%",.,"41,2"
dez/22,"119,8","+0,98%","+29,83%","41,6"
jan/23,"122,8","+2,47%","+22,81%","42,6"
fev/23,"124,1","+1,02%","+17,43%","43,1"
mar/23,"125,8","+1,42%","+18,70%","43,7"
abr/23,"126,1","+0,20%","+18,40%","43,8"
mai/23,"127,8","+1,34%","+18,11%","44,4"
jun/23,129,"+0,96%","+17,78%","44,8"
jul/23,"129,3","+0,27%","+16,34%","44,9"
ago/23,"131,2","+1,44%","+16,16%","45,6"
set/23,"133,5","+1,78%","+16,23%","46,4"
out/23,"134,9","+1,03%","+15,27%","46,9"
nov/23,"134,6"," -0,26%","+13,40%","46,7"
dez/23,"136,5","+1,42%","+13,89%","47,4"
jan/24,"139,4","+2,13%","+13,51%","48,4"
fev/24,"142,6","+2,28%","+14,92%","49,5"
mar/24,"142,5"," -0,08%","+13,22%","49,5"
abr/24,"141,7"," -0,54%","+12,37%","49,2"
mai/24,"141,6"," -0,08%","+10,80%","49,2"
jun/24,"142,1","+0,41%","+10,19%","49,4"
jul/24,"141,9"," -0,15%","+9,73%","49,3"
ago/24,141," -0,65%","+7,47%",49
set/24,"140,7"," -0,23%","+5,34%","48,9"
out/24,"141,3","+0,45%","+4,73%","49,1"
nov/24,"144,9","+2,57%","+7,70%","50,3"
dez/24,"149,2","+2,92%","+9,30%","51,8"
jan/25,"153,4","+2,85%","+10,07%","53,3"
fev/25,"154,9","+0,94%","+8,63%","53,8"
mar/25,"155,5","+0,41%","+9,17%",54
abr/25,"155,7","+0,11%","+9,89%","54,1"
mai/25,,,,
