Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,100,"+0,75%",.,5230
fev/22,"101,2","+1,16%",.,5291
mar/22,"102,9","+1,73%",.,5382
abr/22,"106,8","+3,77%",.,5585
mai/22,111,"+3,93%",.,5805
jun/22,"114,9","+3,53%",.,6009
jul/22,"116,9","+1,72%",.,6112
ago/22,"118,6","+1,45%",.,6201
set/22,"119,8","+1,03%",.,6265
out/22,"120,6","+0,68%",.,6308
nov/22,"121,5","+0,78%",.,6357
dez/22,"122,2","+0,54%","+23,11%",6391
jan/23,"122,4","+0,13%","+22,35%",6399
fev/23,"122,2"," -0,12%","+20,80%",6391
mar/23,"124,1","+1,56%","+20,60%",6491
abr/23,"126,6","+1,99%","+18,53%",6620
mai/23,"128,9","+1,82%","+16,13%",6741
jun/23,"129,2","+0,28%","+12,49%",6760
jul/23,"128,9"," -0,23%","+10,34%",6744
ago/23,129,"+0,02%","+8,78%",6746
set/23,"128,5"," -0,36%","+7,29%",6722
out/23,"129,7","+0,90%","+7,52%",6782
nov/23,"131,2","+1,16%","+7,92%",6860
dez/23,133,"+1,43%","+8,87%",6958
jan/24,"134,7","+1,23%","+10,08%",7044
fev/24,"135,9","+0,88%","+11,18%",7106
mar/24,"136,7","+0,65%","+10,19%",7152
abr/24,"137,5","+0,55%","+8,63%",7191
mai/24,"138,3","+0,62%","+7,34%",7236
jun/24,"140,4","+1,46%","+8,60%",7341
jul/24,"142,8","+1,76%","+10,77%",7471
ago/24,"145,3","+1,73%","+12,65%",7599
set/24,"146,6","+0,89%","+14,06%",7667
out/24,"145,7"," -0,58%","+12,39%",7622
nov/24,"144,8"," -0,66%","+10,37%",7572
dez/24,"144,6"," -0,08%","+8,73%",7565
jan/25,146,"+0,93%","+8,40%",7636
fev/25,"147,7","+1,17%","+8,71%",7725
mar/25,149,"+0,90%","+8,98%",7795
abr/25,"152,4","+2,29%","+10,87%",7973
mai/25,"154,2","+1,16%","+11,47%",8066
