Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,100,"+1,29%",.,15
fev/22,"100,2","+0,22%",.,15
mar/22,"100,5","+0,28%",.,"15,1"
abr/22,"102,1","+1,64%",.,"15,3"
mai/22,105,"+2,79%",.,"15,8"
jun/22,"110,1","+4,82%",.,"16,5"
jul/22,"114,5","+4,07%",.,"17,2"
ago/22,"118,2","+3,23%",.,"17,7"
set/22,"119,6","+1,16%",.,"17,9"
out/22,"119,1"," -0,46%",.,"17,9"
nov/22,"118,7"," -0,27%",.,"17,8"
dez/22,"119,3","+0,45%","+20,81%","17,9"
jan/23,"120,9","+1,39%","+20,93%","18,1"
fev/23,"122,7","+1,46%","+22,43%","18,4"
mar/23,124,"+1,09%","+23,41%","18,6"
abr/23,"124,7","+0,56%","+22,10%","18,7"
mai/23,"124,8","+0,08%","+18,88%","18,7"
jun/23,"125,3","+0,40%","+13,87%","18,8"
jul/23,"127,5","+1,75%","+11,34%","19,1"
ago/23,"130,2","+2,09%","+10,12%","19,5"
set/23,"131,7","+1,19%","+10,15%","19,8"
out/23,"132,9","+0,90%","+11,65%","19,9"
nov/23,"134,2","+0,95%","+13,01%","20,1"
dez/23,"134,3","+0,10%","+12,62%","20,1"
jan/24,132," -1,76%","+9,11%","19,8"
fev/24,"130,2"," -1,36%","+6,08%","19,5"
mar/24,"132,6","+1,89%","+6,92%","19,9"
abr/24,"136,8","+3,16%","+9,69%","20,5"
mai/24,"139,6","+2,04%","+11,83%","20,9"
jun/24,"139,5"," -0,07%","+11,31%","20,9"
jul/24,"138,4"," -0,82%","+8,49%","20,8"
ago/24,"139,3","+0,69%","+7,00%","20,9"
set/24,"141,3","+1,41%","+7,24%","21,2"
out/24,"143,5","+1,60%","+7,98%","21,5"
nov/24,"145,6","+1,47%","+8,54%","21,8"
dez/24,"145,7","+0,03%","+8,47%","21,9"
jan/25,"146,3","+0,40%","+10,86%","21,9"
fev/25,"148,6","+1,61%","+14,19%","22,3"
mar/25,"152,1","+2,36%","+14,72%","22,8"
abr/25,"155,9","+2,46%","+13,95%","23,4"
mai/25,,,,
