Data,Numero_Indice_Total,Var. mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/22,100," -0,22%",.,4138
fev/22,"100,9","+0,86%",.,4174
mar/22,102,"+1,14%",.,4221
abr/22,"103,9","+1,82%",.,4298
mai/22,"107,8","+3,79%",.,4461
jun/22,"111,9","+3,77%",.,4629
jul/22,"114,5","+2,35%",.,4738
ago/22,"114,8","+0,22%",.,4748
set/22,"114,7"," -0,08%",.,4744
out/22,"116,3","+1,44%",.,4813
nov/22,"118,7","+2,03%",.,4910
dez/22,121,"+1,93%","+20,69%",5005
jan/23,"122,4","+1,19%","+22,40%",5065
fev/23,"123,4","+0,84%","+22,38%",5107
mar/23,"125,2","+1,45%","+22,75%",5181
abr/23,"126,1","+0,73%","+21,44%",5219
mai/23,126," -0,11%","+16,88%",5214
jun/23,"125,1"," -0,75%","+11,79%",5175
jul/23,125," -0,03%","+9,19%",5174
ago/23,"125,5","+0,40%","+9,40%",5194
set/23,"126,3","+0,59%","+10,13%",5225
out/23,127,"+0,58%","+9,19%",5255
nov/23,"127,5","+0,41%","+7,46%",5277
dez/23,"128,1","+0,43%","+5,87%",5299
jan/24,"128,4","+0,29%","+4,94%",5315
fev/24,"126,5"," -1,50%","+2,51%",5235
mar/24,126," -0,44%","+0,60%",5213
abr/24,125," -0,75%"," -0,88%",5174
mai/24,"126,6","+1,26%","+0,48%",5239
jun/24,"126,5"," -0,12%","+1,11%",5232
jul/24,"127,8","+1,03%","+2,18%",5286
ago/24,"128,1","+0,30%","+2,07%",5302
set/24,"128,6","+0,37%","+1,85%",5321
out/24,"128,3"," -0,23%","+1,03%",5309
nov/24,"129,7","+1,07%","+1,69%",5366
dez/24,"131,7","+1,52%","+2,80%",5448
jan/25,"133,9","+1,72%","+4,26%",5541
fev/25,135,"+0,79%","+6,67%",5585
mar/25,"136,1","+0,87%","+8,08%",5634
abr/25,"136,1"," -0,02%","+8,87%",5633
mai/25,"136,4","+0,18%","+7,72%",5643
