Data,Cidade,Tipo_Mercado,Numero_Indice_Total,Var_Mensal_Percent,Var_12m_Percent,Preco_m2,IPCA,IGP-M,IPCA_var,IGPM_var,SELIC_media_mensal
2022-01-01,Aracaju,Locacao,100.0,,0.0,17.0,5.182683333333333,5.935103571428572,,,0.034749
2022-02-01,Aracaju,Locacao,101.1,,0.0,17.1,5.332007894736842,6.120422368421053,2.88122101620798,3.122418922638537,0.03959757894736843
2022-03-01,Aracaju,Locacao,99.5,,0.0,16.9,5.784530681818182,6.808053409090909,8.486911422768518,11.235025939022748,0.041953500000000005
2022-04-01,Aracaju,Locacao,96.4,,0.0,16.4,5.715367105263158,6.757856578947368,-1.195664442967126,-0.7373154575507912,0.043739
2022-05-01,Aracaju,Locacao,95.8,,0.0,16.2,5.998756818181818,6.515722727272728,4.958381634973064,-3.582997787034359,0.04679627272727272
2022-06-01,Aracaju,Locacao,97.3,,0.0,16.5,5.834003571428572,6.245964285714285,-2.746456503352324,-4.140115423102952,0.048116142857142864
2022-07-01,Aracaju,Locacao,100.1,,0.0,17.0,5.181057142857143,5.805783333333333,-11.192081399626952,-7.047445874574243,0.049037
2022-08-01,Aracaju,Locacao,102.0,,0.0,17.3,5.405071739130435,5.148797826086956,4.323723713067507,-11.316052796430752,0.050559608695652174
2022-09-01,Aracaju,Locacao,102.9,,0.0,17.5,5.071798809523809,4.665683333333333,-6.165929809846382,-9.383054240465029,0.050788
2022-10-01,Aracaju,Locacao,103.1,,0.0,17.5,5.05433875,4.2630525,-0.3442577314191286,-8.629621956055022,0.050788
2022-11-01,Aracaju,Locacao,102.1,,0.0,17.3,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,Aracaju,Locacao,101.6,,0.0626,17.2,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,Aracaju,Locacao,102.3,,0.0231,17.3,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,Aracaju,Locacao,100.9,,-0.0016,17.1,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,Aracaju,Locacao,99.6,,0.0011,16.9,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,Aracaju,Locacao,100.6,,0.043,17.1,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,Aracaju,Locacao,104.8,,0.0936999999999999,17.8,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,Aracaju,Locacao,107.2,,0.1011,18.2,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,Aracaju,Locacao,111.7,,0.1158,18.9,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,Aracaju,Locacao,115.2,,0.1284,19.5,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,Aracaju,Locacao,119.4,,0.1601,20.2,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,Aracaju,Locacao,123.7,,0.1997,21.0,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,Aracaju,Locacao,126.2,,0.2357999999999999,21.4,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,Aracaju,Locacao,127.6,,0.2564,21.6,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,Aracaju,Locacao,127.4,,0.2453999999999999,21.6,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,Aracaju,Locacao,132.0,,0.3078,22.4,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
2024-03-01,Aracaju,Locacao,141.1,,0.4169,23.9,3.47545875,3.90178375,-6.485209017445404,2.489014426234037,0.0414203
2024-04-01,Aracaju,Locacao,148.8,,0.4794,25.2,3.515184090909091,4.083145454545455,1.1430243822945885,4.648174172785846,0.040168
2024-05-01,Aracaju,Locacao,151.3,,0.4439,25.6,3.629939285714285,4.466585714285714,3.264557184984196,9.390805789526912,0.039483809523809525
2024-06-01,Aracaju,Locacao,153.3,,0.4302,26.0,3.64047125,4.47748625,0.290141610003336,0.2440462673630516,0.03927
2024-07-01,Aracaju,Locacao,152.4,,0.3644,25.8,3.752504347826087,4.288230434782609,3.077433940072627,-4.226831857214341,0.03927
2024-08-01,Aracaju,Locacao,148.6,,0.2907,25.2,3.826120454545455,4.1475420454545455,1.9617860472837425,-3.2808029201722544,0.03927
2024-09-01,Aracaju,Locacao,144.7,,0.2123,24.5,4.022889285714286,4.077870238095239,5.142776697870799,-1.6798336604125108,0.03961209523809524
2024-10-01,Aracaju,Locacao,139.9,,0.1304,23.7,4.065692391304348,4.3593402173913045,1.0639891518282596,6.902377046395181,0.040168
2024-11-01,Aracaju,Locacao,140.0,,0.1099,23.7,4.284196052631579,4.577456578947369,5.374328411922269,5.003425992903776,0.04158036842105264
2024-12-01,Aracaju,Locacao,141.3,,0.1075,24.0,4.820945238095239,4.975930952380953,12.528585967347606,8.705148078656745,0.044158333333333334
2025-01-01,Aracaju,Locacao,143.5,,0.1265,24.3,5.259276136363637,4.963214772727273,9.092218986531853,-0.2555537802950258,0.04583336363636364
2025-02-01,Aracaju,Locacao,149.9,,0.1357,25.4,5.690838749999999,5.175330000000001,8.205741673316158,4.273746694144576,0.049037
2025-03-01,Aracaju,Locacao,151.6,,0.0744,25.7,5.255302631578948,5.0825815789473685,-7.653285175600022,-1.792125739858752,0.05050815789473684
2025-04-01,Aracaju,Locacao,155.9,,0.0476999999999999,26.4,4.990705,5.09747,-5.034869542792619,0.2929302918481591,0.05253100000000001
2022-01-01,Aracaju,Venda,100.0,,0.0,4021.0,5.182683333333333,5.935103571428572,,,0.034749
2022-02-01,Aracaju,Venda,101.5,,0.0,4080.0,5.332007894736842,6.120422368421053,2.88122101620798,3.122418922638537,0.03959757894736843
2022-03-01,Aracaju,Venda,103.5,,0.0,4162.0,5.784530681818182,6.808053409090909,8.486911422768518,11.235025939022748,0.041953500000000005
2022-04-01,Aracaju,Venda,107.1,,0.0,4307.0,5.715367105263158,6.757856578947368,-1.195664442967126,-0.7373154575507912,0.043739
2022-05-01,Aracaju,Venda,111.0,,0.0,4462.0,5.998756818181818,6.515722727272728,4.958381634973064,-3.582997787034359,0.04679627272727272
2022-06-01,Aracaju,Venda,114.4,,0.0,4601.0,5.834003571428572,6.245964285714285,-2.746456503352324,-4.140115423102952,0.048116142857142864
2022-07-01,Aracaju,Venda,115.1,,0.0,4626.0,5.181057142857143,5.805783333333333,-11.192081399626952,-7.047445874574243,0.049037
2022-08-01,Aracaju,Venda,114.2,,0.0,4593.0,5.405071739130435,5.148797826086956,4.323723713067507,-11.316052796430752,0.050559608695652174
2022-09-01,Aracaju,Venda,113.0,,0.0,4543.0,5.071798809523809,4.665683333333333,-6.165929809846382,-9.383054240465029,0.050788
2022-10-01,Aracaju,Venda,110.9,,0.0,4460.0,5.05433875,4.2630525,-0.3442577314191286,-8.629621956055022,0.050788
2022-11-01,Aracaju,Venda,108.1,,0.0,4347.0,5.2362275,4.39405,3.598665601904893,3.0728568320469885,0.050788
2022-12-01,Aracaju,Venda,106.7,,0.0698,4288.0,5.232951136363637,4.484347727272727,-0.0625710711836591,2.0549999948277,0.05078799999999999
2023-01-01,Aracaju,Venda,105.2,,0.0518,4229.0,5.453275,4.650378409090909,4.210317618013626,3.702448871402697,0.05078799999999999
2023-02-01,Aracaju,Venda,103.6,,0.0212,4167.0,5.678552777777778,4.643279166666667,4.131054784102739,-0.1526594569242756,0.050788
2023-03-01,Aracaju,Venda,102.7,,-0.0076,4130.0,5.503395652173913,4.722534782608696,-3.0845381289633766,1.706888883851554,0.050788
2023-04-01,Aracaju,Venda,104.5,,-0.0241,4203.0,5.282602777777778,4.31285,-4.01193896188291,-8.67510355069081,0.050788
2023-05-01,Aracaju,Venda,108.6,,-0.0217,4365.0,4.933446590909091,3.9326511363636367,-6.609548390378228,-8.815490073532894,0.05078799999999999
2023-06-01,Aracaju,Venda,111.4,,-0.0268,4478.0,4.266885714285714,3.534380952380952,-13.511058939031695,-10.12726962480962,0.050788
2023-07-01,Aracaju,Venda,111.5,,-0.0308,4484.0,4.134565476190476,3.753894047619047,-3.101096372284473,6.210793295788308,0.050788
2023-08-01,Aracaju,Venda,111.8,,-0.0210999999999999,4496.0,4.13858152173913,4.114457608695652,0.0971334369181287,9.605054285037596,0.04918926086956521
2023-09-01,Aracaju,Venda,112.0,,-0.0085,4505.0,4.11075625,4.09599,-0.6723383747056833,-0.4488467363625847,0.0484217
2023-10-01,Aracaju,Venda,113.0,,0.0191,4545.0,3.951163095238095,4.222013095238095,-3.882330769719189,3.0767432351664903,0.047279
2023-11-01,Aracaju,Venda,113.0,,0.045,4543.0,3.9136225,4.29697875,-0.9501150505110356,1.7755902947448554,0.0456013
2023-12-01,Aracaju,Venda,112.9,,0.0588999999999999,4541.0,3.85192625,4.205685,-1.5764486738309769,-2.124603245943446,0.0445373
2024-01-01,Aracaju,Venda,112.9,,0.0733999999999999,4540.0,3.836232954545455,4.054798863636363,-0.4074142243648881,-3.587670887468664,0.043739
2024-02-01,Aracaju,Venda,112.8,,0.0881,4534.0,3.7164802631578944,3.8070263157894737,-3.121621987154566,-6.110600209271189,0.041957
2024-03-01,Aracaju,Venda,112.7,,0.0975999999999999,4533.0,3.47545875,3.90178375,-6.485209017445404,2.489014426234037,0.0414203
2024-04-01,Aracaju,Venda,113.1,,0.0818,4547.0,3.515184090909091,4.083145454545455,1.1430243822945885,4.648174172785846,0.040168
2024-05-01,Aracaju,Venda,114.1,,0.0513999999999999,4589.0,3.629939285714285,4.466585714285714,3.264557184984196,9.390805789526912,0.039483809523809525
2024-06-01,Aracaju,Venda,116.0,,0.0419,4665.0,3.64047125,4.47748625,0.290141610003336,0.2440462673630516,0.03927
2024-07-01,Aracaju,Venda,117.4,,0.0527,4720.0,3.752504347826087,4.288230434782609,3.077433940072627,-4.226831857214341,0.03927
2024-08-01,Aracaju,Venda,119.1,,0.0648,4788.0,3.826120454545455,4.1475420454545455,1.9617860472837425,-3.2808029201722544,0.03927
2024-09-01,Aracaju,Venda,121.6,,0.0852,4889.0,4.022889285714286,4.077870238095239,5.142776697870799,-1.6798336604125108,0.03961209523809524
2024-10-01,Aracaju,Venda,124.4,,0.1007,5003.0,4.065692391304348,4.3593402173913045,1.0639891518282596,6.902377046395181,0.040168
2024-11-01,Aracaju,Venda,127.3,,0.1271,5120.0,4.284196052631579,4.577456578947369,5.374328411922269,5.003425992903776,0.04158036842105264
2024-12-01,Aracaju,Venda,128.5,,0.1379,5167.0,4.820945238095239,4.975930952380953,12.528585967347606,8.705148078656745,0.044158333333333334
2025-01-01,Aracaju,Venda,128.2,,0.1354,5155.0,5.259276136363637,4.963214772727273,9.092218986531853,-0.2555537802950258,0.04583336363636364
2025-02-01,Aracaju,Venda,127.1,,0.1275,5112.0,5.690838749999999,5.175330000000001,8.205741673316158,4.273746694144576,0.049037
2025-03-01,Aracaju,Venda,127.3,,0.1292,5119.0,5.255302631578948,5.0825815789473685,-7.653285175600022,-1.792125739858752,0.05050815789473684
2025-04-01,Aracaju,Venda,128.6,,0.1369999999999999,5170.0,4.990705,5.09747,-5.034869542792619,0.2929302918481591,0.05253100000000001
2020-01-01,Fortaleza,Locacao,102.7,,0.0697,17.7,,,,,
2020-02-01,Fortaleza,Locacao,101.8,,0.0592,17.6,,,,,
2020-03-01,Fortaleza,Locacao,101.2,,0.046,17.5,,,,,
2020-04-01,Fortaleza,Locacao,101.0,,0.0260999999999999,17.4,,,,,
2020-05-01,Fortaleza,Locacao,101.1,,-0.0002,17.4,,,,,
2020-06-01,Fortaleza,Locacao,102.3,,0.0029,17.6,,,,,
2020-07-01,Fortaleza,Locacao,102.7,,0.0048,17.7,,,,,
