Indicador;Data;Media;Mediana;DesvioPadrao;Minimo;Maximo
IGP-DI;2020-01-02;4,97;5,34;1,17;1,41;6,41
IGP-DI;2020-01-02;4,22;4,24;0,85;1,41;5,23
IGP-DI;2020-01-03;5,13;5,47;1,08;1,41;6,41
IGP-DI;2020-01-03;4,31;4,33;0,88;1,41;6,17
IGP-DI;2020-01-06;5,5;5,64;0,69;3,66;6,41
IGP-DI;2020-01-06;4,4;4,3;0,73;2,34;6,17
IGP-DI;2020-01-07;5,5;5,62;0,68;3,66;6,41
IGP-DI;2020-01-07;4,36;4,28;0,72;2,3;6,17
IGP-DI;2020-01-08;4,34;4,26;0,66;2,4;6,17
IGP-DI;2020-01-08;4,31;4,28;0,77;2,41;6,17
IGP-DI;2020-01-09;4,34;4,26;0,66;2,4;6,17
IGP-DI;2020-01-09;4,3;4,27;0,76;2,42;6,17
IGP-DI;2020-01-10;4,34;4,26;0,66;2,46;6,17
IGP-DI;2020-01-10;4,3;4,27;0,75;2,48;6,18
IGP-DI;2020-01-13;4,34;4,25;0,65;2,46;6,17
IGP-DI;2020-01-13;4,28;4,26;0,73;2,51;6,19
IGP-DI;2020-01-14;4,34;4,25;0,65;2,46;6,17
IGP-DI;2020-01-14;4,28;4,26;0,73;2,51;6,19
IGP-DI;2020-01-15;4,34;4,25;0,65;2,46;6,17
IGP-DI;2020-01-15;4,28;4,26;0,73;2,52;6,2
IGP-DI;2020-01-16;4,35;4,27;0,65;2,46;6,17
IGP-DI;2020-01-16;4,29;4,31;0,73;2,53;6,2
IGP-DI;2020-01-17;4,35;4,27;0,65;2,46;6,17
IGP-DI;2020-01-17;4,29;4,3;0,71;2,54;6,2
IGP-DI;2020-01-20;4,33;4,26;0,65;2,46;6,17
IGP-DI;2020-01-20;4,25;4,28;0,72;2,56;6,21
IGP-DI;2020-01-21;4,33;4,26;0,65;2,46;6,17
IGP-DI;2020-01-21;4,25;4,29;0,72;2,57;6,22
IGP-DI;2020-01-22;4,3;4,26;0,65;2,46;6,17
IGP-DI;2020-01-22;4,24;4,28;0,72;2,57;6,22
IGP-DI;2020-01-23;4,32;4,26;0,66;2,46;6,17
IGP-DI;2020-01-23;4,27;4,29;0,73;2,58;6,22
IGP-DI;2020-01-24;4,13;4,02;0,81;1,41;6,17
IGP-DI;2020-01-24;4,01;4,14;0,94;1,41;6,23
IGP-DI;2020-01-27;4,08;4;0,79;1,41;6,17
IGP-DI;2020-01-27;3,99;4;0,94;1,41;6,24
IGP-DI;2020-01-28;4,08;4;0,79;1,41;6,17
IGP-DI;2020-01-28;3,99;4;0,94;1,41;6,24
IGP-DI;2020-01-29;4,08;4;0,79;1,41;6,17
IGP-DI;2020-01-29;3,99;4;0,94;1,41;6,25
IGP-DI;2020-01-30;4,07;4;0,82;1,41;6,17
IGP-DI;2020-01-30;3,98;4;0,95;1,41;6,25
IGP-DI;2020-01-31;4;4;0,86;1,41;6,17
IGP-DI;2020-01-31;3,94;3,98;0,97;1,41;6,25
IGP-DI;2020-02-03;4;4;0,85;1,41;6,17
IGP-DI;2020-02-03;3,94;3,98;0,97;1,41;6,26
IGP-DI;2020-02-04;4;4;0,85;1,41;6,17
IGP-DI;2020-02-04;3,94;3,98;0,97;1,41;6,27
IGP-DI;2020-02-05;4;4;0,84;1,41;6,17
IGP-DI;2020-02-05;3,94;3,99;0,94;1,41;6,27
IGP-DI;2020-02-06;4;4;0,84;1,41;6,17
IGP-DI;2020-02-06;3,94;3,99;0,94;1,41;6,27
IGP-DI;2020-02-07;3,95;4;0,94;1,41;6,27
IGP-DI;2020-02-07;3,96;4,01;0,93;1,41;6,27
IGP-DI;2020-02-10;3,92;3,99;0,94;1,41;6,27
IGP-DI;2020-02-10;3,95;4,01;0,93;1,41;6,26
IGP-DI;2020-02-11;3,93;3,99;0,94;1,41;6,27
IGP-DI;2020-02-11;3,95;4,01;0,92;1,41;6,26
IGP-DI;2020-02-12;3,93;3,99;0,94;1,41;6,27
IGP-DI;2020-02-12;3,96;4,02;0,92;1,41;6,25
IGP-DI;2020-02-13;3,93;3,99;0,94;1,41;6,27
IGP-DI;2020-02-13;3,97;4,03;0,92;1,41;6,25
IGP-DI;2020-02-14;3,93;3,99;0,9;1,41;6,27
IGP-DI;2020-02-14;3,99;4,02;0,88;1,41;6,25
IGP-DI;2020-02-17;3,92;3,92;0,89;1,41;6,27
IGP-DI;2020-02-17;4;4,01;0,87;1,41;6,24
IGP-DI;2020-02-18;3,92;3,97;0,86;1,41;6,27
IGP-DI;2020-02-18;4,01;4,04;0,85;1,41;6,23
IGP-DI;2020-02-19;3,92;3,97;0,86;1,41;6,27
IGP-DI;2020-02-19;4,02;4,07;0,84;1,41;6,23
IGP-DI;2020-02-20;3,89;3,92;0,88;1,41;6,27
IGP-DI;2020-02-20;4;4,07;0,86;1,41;6,23
IGP-DI;2020-02-21;3,89;3,92;0,88;1,41;6,27
IGP-DI;2020-02-21;4,01;4,09;0,86;1,41;6,22
IGP-DI;2020-02-26;4,06;4,02;0,71;2,8;6,27
IGP-DI;2020-02-26;4,24;4,19;0,63;3,16;6,21
IGP-DI;2020-02-27;4,03;3,99;0,7;2,8;6,27
IGP-DI;2020-02-27;4,23;4,17;0,62;3,18;6,2
