Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;100.0;0.0463;;17.0
2022-02-01;101.1;0.010700000000000001;;17.1
2022-03-01;99.5;-0.0158;;16.9
2022-04-01;96.4;-0.0305;;16.4
2022-05-01;95.8;-0.0068000000000000005;;16.2
2022-06-01;97.3;0.0161;;16.5
2022-07-01;100.1;0.028399999999999998;;17.0
2022-08-01;102.0;0.0196;;17.3
2022-09-01;102.9;0.0086;;17.5
2022-10-01;103.1;0.0021;;17.5
2022-11-01;102.1;-0.0101;;17.3
2022-12-01;101.6;-0.0053;0.0626;17.2
2023-01-01;102.3;0.0074;0.0231;17.3
2023-02-01;100.9;-0.0137;-0.0016;17.1
2023-03-01;99.6;-0.0132;0.0011;16.9
2023-04-01;100.6;0.0101;0.043;17.1
2023-05-01;104.8;0.0415;0.09369999999999999;17.8
2023-06-01;107.2;0.023;0.1011;18.2
2023-07-01;111.7;0.0421;0.1158;18.9
2023-08-01;115.2;0.0311;0.1284;19.5
2023-09-01;119.4;0.0368;0.16010000000000002;20.2
2023-10-01;123.7;0.0364;0.1997;21.0
2023-11-01;126.2;0.0197;0.23579999999999998;21.4
2023-12-01;127.6;0.0113;0.2564;21.6
2024-01-01;127.4;-0.0014000000000000002;0.24539999999999998;21.6
2024-02-01;132.0;0.035699999999999996;0.3078;22.4
2024-03-01;141.1;0.0692;0.4169;23.9
2024-04-01;148.8;0.0547;0.4794;25.2
2024-05-01;151.3;0.0165;0.4439;25.6
2024-06-01;153.3;0.013300000000000001;0.4302;26.0
2024-07-01;152.4;-0.0059;0.3644;25.8
2024-08-01;148.6;-0.0246;0.2907;25.2
2024-09-01;144.7;-0.0262;0.21230000000000002;24.5
2024-10-01;139.9;-0.0336;0.1304;23.7
2024-11-01;140.0;0.0011;0.1099;23.7
2024-12-01;141.3;0.0091;0.1075;24.0
2025-01-01;143.5;0.015700000000000002;0.1265;24.3
2025-02-01;149.9;0.044199999999999996;0.13570000000000002;25.4
2025-03-01;151.6;0.0115;0.07440000000000001;25.7
2025-04-01;155.9;0.028399999999999998;0.04769999999999999;26.4
2025-05-01;;;;
