Data;Numero_Indice_Total;Var.  Mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2020-01-01;102.7;0.0007000000000000001;0.0697;17.7
2020-02-01;101.8;-0.0086;0.0592;17.6
2020-03-01;101.2;-0.0062;0.046;17.5
2020-04-01;101.0;-0.0022;0.026099999999999998;17.4
2020-05-01;101.1;0.0012;-0.0002;17.4
2020-06-01;102.3;0.011699999999999999;0.0029;17.6
2020-07-01;102.7;0.0039000000000000003;0.0048;17.7
2020-08-01;102.4;-0.0023;-0.0012;17.7
2020-09-01;101.2;-0.011699999999999999;-0.009899999999999999;17.5
2020-10-01;101.4;0.0016;-0.0083;17.5
2020-11-01;102.3;0.0088;-0.0039000000000000003;17.6
2020-12-01;102.9;0.006;0.0026;17.7
2021-01-01;102.5;-0.0036;-0.0017000000000000001;17.7
2021-02-01;102.0;-0.005600000000000001;0.0014000000000000002;17.6
2021-03-01;102.1;0.0011;0.0087;17.6
2021-04-01;102.0;-0.001;0.009899999999999999;17.6
2021-05-01;102.7;0.0069;0.015700000000000002;17.7
2021-06-01;103.5;0.008199999999999999;0.0121;17.9
2021-07-01;104.7;0.0115;0.0197;18.1
2021-08-01;106.9;0.021;0.0436;18.4
2021-09-01;108.2;0.0125;0.0691;18.7
2021-10-01;110.3;0.018500000000000003;0.0873;19.0
2021-11-01;111.3;0.009899999999999999;0.0885;19.2
2021-12-01;112.7;0.0125;0.0955;19.4
2022-01-01;113.9;0.0106;0.11109999999999999;19.7
2022-02-01;116.6;0.0236;0.1437;20.1
2022-03-01;120.3;0.0319;0.1789;20.8
2022-04-01;123.6;0.027200000000000002;0.21230000000000002;21.3
2022-05-01;125.6;0.0158;0.223;21.7
2022-06-01;128.1;0.020499999999999997;0.2379;22.1
2022-07-01;132.6;0.0352;0.2668;22.9
2022-08-01;136.9;0.0317;0.2801;23.6
2022-09-01;139.2;0.0169;0.28559999999999997;24.0
2022-10-01;137.8;-0.0097;0.24989999999999998;23.8
2022-11-01;138.1;0.0018;0.23989999999999997;23.8
2022-12-01;136.8;-0.0092;0.2133;23.6
2023-01-01;139.4;0.0194;0.22390000000000002;24.1
2023-02-01;141.5;0.0146;0.2132;24.4
2023-03-01;147.4;0.0415;0.2245;25.4
2023-04-01;152.1;0.0322;0.2304;26.2
2023-05-01;153.6;0.01;0.2235;26.5
2023-06-01;155.3;0.011200000000000002;0.21230000000000002;26.8
2023-07-01;156.6;0.0084;0.1809;27.0
2023-08-01;159.8;0.0204;0.168;27.6
2023-09-01;162.3;0.015600000000000001;0.16649999999999998;28.0
2023-10-01;164.9;0.0159;0.1967;28.4
2023-11-01;167.5;0.0159;0.21350000000000002;28.9
2023-12-01;166.8;-0.0043;0.2195;28.8
2024-01-01;166.0;-0.0049;0.19039999999999999;28.6
2024-02-01;165.8;-0.0011;0.17190000000000003;28.6
2024-03-01;169.5;0.022099999999999998;0.1501;29.2
2024-04-01;173.3;0.0227;0.13949999999999999;29.9
2024-05-01;174.8;0.0083;0.1375;30.1
2024-06-01;176.3;0.0089;0.135;30.4
2024-07-01;178.7;0.013600000000000001;0.1409;30.8
2024-08-01;184.6;0.032799999999999996;0.1548;31.8
2024-09-01;187.3;0.0149;0.15410000000000001;32.3
2024-10-01;188.5;0.0062;0.14300000000000002;32.5
2024-11-01;189.9;0.0075;0.1336;32.8
2024-12-01;191.3;0.0073;0.14679999999999999;33.0
2025-01-01;192.2;0.0045000000000000005;0.1576;33.1
2025-02-01;194.5;0.0121;0.1729;33.5
2025-03-01;198.7;0.0216;0.1724;34.3
2025-04-01;202.8;0.0206;0.17;35.0
2025-05-01;;;;
