Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;100.0;0.016;;27.3
2022-02-01;103.1;0.031400000000000004;;28.2
2022-03-01;105.1;0.0192;;28.7
2022-04-01;107.6;0.024;;29.4
2022-05-01;109.0;0.0128;;29.8
2022-06-01;110.4;0.0128;;30.1
2022-07-01;111.7;0.0115;;30.5
2022-08-01;113.0;0.011399999999999999;;30.8
2022-09-01;113.9;0.008100000000000001;;31.1
2022-10-01;114.4;0.005;;31.2
2022-11-01;113.3;-0.0098;;30.9
2022-12-01;114.3;0.009000000000000001;0.1616;31.2
2023-01-01;116.8;0.0212;0.16760000000000003;31.9
2023-02-01;120.6;0.0326;0.1689;32.9
2023-03-01;123.4;0.0239;0.1743;33.7
2023-04-01;124.6;0.0092;0.1573;34.0
2023-05-01;125.7;0.009300000000000001;0.1534;34.3
2023-06-01;127.4;0.013600000000000001;0.1542;34.8
2023-07-01;129.3;0.014499999999999999;0.1577;35.3
2023-08-01;130.7;0.0106;0.1567;35.7
2023-09-01;130.9;0.0018;0.1496;35.7
2023-10-01;132.1;0.009399999999999999;0.15460000000000002;36.1
2023-11-01;134.3;0.0166;0.18539999999999998;36.7
2023-12-01;137.4;0.023;0.20190000000000002;37.5
2024-01-01;139.2;0.0131;0.1923;38.0
2024-02-01;141.2;0.014199999999999999;0.171;38.5
2024-03-01;142.1;0.006500000000000001;0.15109999999999998;38.8
2024-04-01;144.1;0.0141;0.1568;39.3
2024-05-01;144.6;0.0036;0.1502;39.5
2024-06-01;145.8;0.008;0.1439;39.8
2024-07-01;145.9;0.0011;0.1288;39.8
2024-08-01;146.4;0.0034000000000000002;0.1208;40.0
2024-09-01;146.6;0.0012;0.1201;40.0
2024-10-01;148.0;0.0095;0.1202;40.4
2024-11-01;149.2;0.008;0.1108;40.7
2024-12-01;151.4;0.014499999999999999;0.1015;41.3
2025-01-01;154.9;0.0235;0.11289999999999999;42.3
2025-02-01;158.9;0.0254;0.1252;43.4
2025-03-01;161.5;0.0167;0.1366;44.1
2025-04-01;162.9;0.0083;0.1301;44.4
2025-05-01;;;;
