Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;95.2;0.0246;;34.5
2022-02-01;100.0;0.0509;;36.2
2022-03-01;105.9;0.058600000000000006;;38.4
2022-04-01;107.8;0.018600000000000002;;39.1
2022-05-01;107.8;-0.0;;39.1
2022-06-01;106.7;-0.010700000000000001;;38.7
2022-07-01;107.6;0.0084;;39.0
2022-08-01;108.0;0.0036;;39.1
2022-09-01;110.2;0.0207;;39.9
2022-10-01;111.8;0.015;;40.5
2022-11-01;113.7;0.0167;;41.2
2022-12-01;115.6;0.0165;0.2446;41.9
2023-01-01;118.6;0.026099999999999998;0.2463;43.0
2023-02-01;122.9;0.0363;0.2291;44.5
2023-03-01;125.0;0.0171;0.1808;45.3
2023-04-01;126.2;0.009300000000000001;0.17;45.7
2023-05-01;124.7;-0.011699999999999999;0.1564;45.2
2023-06-01;124.5;-0.0013;0.1675;45.1
2023-07-01;123.8;-0.0058;0.1509;44.9
2023-08-01;123.2;-0.005;0.141;44.6
2023-09-01;124.0;0.0067;0.12539999999999998;44.9
2023-10-01;125.4;0.0116;0.1216;45.5
2023-11-01;127.6;0.0168;0.1217;46.2
2023-12-01;130.5;0.0231;0.1291;47.3
2024-01-01;132.9;0.0182;0.1204;48.2
2024-02-01;135.4;0.0192;0.102;49.1
2024-03-01;134.8;-0.0044;0.0787;48.9
2024-04-01;133.1;-0.013000000000000001;0.054900000000000004;48.2
2024-05-01;132.0;-0.0083;0.0584;47.8
2024-06-01;131.4;-0.0043;0.0553;47.6
2024-07-01;132.1;0.0049;0.0667;47.9
2024-08-01;132.3;0.0019;0.0741;48.0
2024-09-01;132.2;-0.0011;0.06570000000000001;47.9
2024-10-01;131.5;-0.0048;0.048499999999999995;47.7
2024-11-01;132.6;0.008199999999999999;0.039599999999999996;48.1
2024-12-01;134.9;0.0172;0.0335;48.9
2025-01-01;137.5;0.0197;0.0351;49.8
2025-02-01;140.7;0.0229;0.0388;51.0
2025-03-01;143.8;0.022099999999999998;0.0664;52.1
2025-04-01;145.5;0.0121;0.0935;52.7
2025-05-01;;;;
