Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;100.0;0.0086;;24.3
2022-02-01;101.9;0.0187;;24.8
2022-03-01;103.7;0.0175;;25.2
2022-04-01;107.6;0.0379;;26.1
2022-05-01;112.7;0.047400000000000005;;27.4
2022-06-01;116.3;0.0319;;28.2
2022-07-01;119.9;0.0316;;29.1
2022-08-01;121.4;0.011899999999999999;;29.5
2022-09-01;123.6;0.018600000000000002;;30.0
2022-10-01;123.9;0.0022;;30.1
2022-11-01;124.4;0.0037;;30.2
2022-12-01;125.5;0.0095;0.2663;30.5
2023-01-01;126.2;0.0052;0.262;30.7
2023-02-01;127.8;0.0128;0.2546;31.1
2023-03-01;127.9;0.001;0.2343;31.1
2023-04-01;129.8;0.014199999999999999;0.20620000000000002;31.5
2023-05-01;130.9;0.0084;0.1613;31.8
2023-06-01;133.1;0.0173;0.1449;32.3
2023-07-01;134.3;0.009300000000000001;0.1201;32.6
2023-08-01;134.8;0.003;0.11019999999999999;32.7
2023-09-01;136.4;0.0125;0.1036;33.1
2023-10-01;137.5;0.008;0.11;33.4
2023-11-01;138.0;0.0031;0.1093;33.5
2023-12-01;136.7;-0.0092;0.0888;33.2
2024-01-01;135.6;-0.0079;0.0746;32.9
2024-02-01;137.2;0.011399999999999999;0.0731;33.3
2024-03-01;140.6;0.025;0.09880000000000001;34.2
2024-04-01;142.8;0.0159;0.10060000000000001;34.7
2024-05-01;144.4;0.0113;0.1038;35.1
2024-06-01;144.7;0.0021;0.0873;35.2
2024-07-01;145.9;0.0077;0.08560000000000001;35.4
2024-08-01;146.4;0.0037;0.0864;35.6
2024-09-01;148.0;0.011200000000000002;0.0849;36.0
2024-10-01;150.2;0.0148;0.09230000000000001;36.5
2024-11-01;151.4;0.008199999999999999;0.0978;36.8
2024-12-01;151.8;0.0022;0.1104;36.9
2025-01-01;153.1;0.0087;0.129;37.2
2025-02-01;155.5;0.0155;0.1336;37.8
2025-03-01;158.2;0.0177;0.1255;38.4
2025-04-01;160.8;0.016;0.1257;39.1
2025-05-01;;;;
