Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;111.7;0.015700000000000002;0.0513;26.7
2022-02-01;114.5;0.0245;0.063;27.4
2022-03-01;117.8;0.0291;0.08960000000000001;28.2
2022-04-01;122.0;0.0351;0.1285;29.2
2022-05-01;124.9;0.0245;0.1573;29.9
2022-06-01;126.8;0.0149;0.1724;30.3
2022-07-01;127.4;0.004699999999999999;0.1704;30.5
2022-08-01;127.0;-0.003;0.16210000000000002;30.4
2022-09-01;127.3;0.0019;0.161;30.4
2022-10-01;127.1;-0.0012;0.1602;30.4
2022-11-01;128.1;0.0079;0.1696;30.6
2022-12-01;128.2;0.0011;0.1656;30.7
2023-01-01;129.1;0.0066;0.1551;30.9
2023-02-01;131.6;0.0197;0.1496;31.5
2023-03-01;134.5;0.0215;0.1412;32.2
2023-04-01;136.8;0.0176;0.1219;32.7
2023-05-01;137.0;0.0015;0.0968;32.8
2023-06-01;136.7;-0.0022;0.0783;32.7
2023-07-01;137.5;0.0055000000000000005;0.07919999999999999;32.9
2023-08-01;138.8;0.0095;0.09269999999999999;33.2
2023-09-01;139.7;0.0066;0.0978;33.4
2023-10-01;140.0;0.0021;0.1014;33.5
2023-11-01;141.2;0.0087;0.1023;33.8
2023-12-01;144.0;0.02;0.1231;34.4
2024-01-01;147.4;0.0232;0.1417;35.2
2024-02-01;150.1;0.018799999999999997;0.1407;35.9
2024-03-01;153.3;0.0213;0.1405;36.7
2024-04-01;156.4;0.0203;0.1435;37.4
2024-05-01;161.1;0.0296;0.1754;38.5
2024-06-01;163.5;0.0151;0.19579999999999997;39.1
2024-07-01;167.5;0.0242;0.218;40.0
2024-08-01;171.2;0.0223;0.2335;40.9
2024-09-01;177.5;0.036699999999999997;0.2704;42.4
2024-10-01;182.1;0.0263;0.3011;43.6
2024-11-01;186.7;0.0252;0.3224;44.7
2024-12-01;191.7;0.0264;0.3307;45.8
2025-01-01;196.5;0.0255;0.3337;47.0
2025-02-01;202.1;0.0282;0.3461;48.3
2025-03-01;204.1;0.0097;0.3308;48.8
2025-04-01;204.1;0.0002;0.3046;48.8
2025-05-01;;;;
