Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;100.0;0.0833;;34.7
2022-02-01;105.6;0.0564;;36.7
2022-03-01;106.0;0.0034000000000000002;;36.8
2022-04-01;106.5;0.0046;;37.0
2022-05-01;108.2;0.0158;;37.6
2022-06-01;109.5;0.0124;;38.0
2022-07-01;111.2;0.0151;;38.6
2022-08-01;113.0;0.016;;39.2
2022-09-01;114.9;0.0172;;39.9
2022-10-01;117.0;0.0187;;40.6
2022-11-01;118.7;0.0139;;41.2
2022-12-01;119.8;0.0098;0.2983;41.6
2023-01-01;122.8;0.024700000000000003;0.2281;42.6
2023-02-01;124.1;0.0102;0.1743;43.1
2023-03-01;125.8;0.014199999999999999;0.187;43.7
2023-04-01;126.1;0.002;0.184;43.8
2023-05-01;127.8;0.0134;0.18109999999999998;44.4
2023-06-01;129.0;0.0096;0.1778;44.8
2023-07-01;129.3;0.0027;0.1634;44.9
2023-08-01;131.2;0.0144;0.1616;45.6
2023-09-01;133.5;0.0178;0.1623;46.4
2023-10-01;134.9;0.0103;0.1527;46.9
2023-11-01;134.6;-0.0026;0.134;46.7
2023-12-01;136.5;0.014199999999999999;0.1389;47.4
2024-01-01;139.4;0.0213;0.1351;48.4
2024-02-01;142.6;0.022799999999999997;0.1492;49.5
2024-03-01;142.5;-0.0008;0.1322;49.5
2024-04-01;141.7;-0.0054;0.12369999999999999;49.2
2024-05-01;141.6;-0.0008;0.10800000000000001;49.2
2024-06-01;142.1;0.0040999999999999995;0.10189999999999999;49.4
2024-07-01;141.9;-0.0015;0.0973;49.3
2024-08-01;141.0;-0.006500000000000001;0.0747;49.0
2024-09-01;140.7;-0.0023;0.053399999999999996;48.9
2024-10-01;141.3;0.0045000000000000005;0.0473;49.1
2024-11-01;144.9;0.025699999999999997;0.077;50.3
2024-12-01;149.2;0.0292;0.09300000000000001;51.8
2025-01-01;153.4;0.0285;0.1007;53.3
2025-02-01;154.9;0.009399999999999999;0.0863;53.8
2025-03-01;155.5;0.0040999999999999995;0.0917;54.0
2025-04-01;155.7;0.0011;0.0989;54.1
2025-05-01;;;;
