Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;100.0;0.0129;;15.0
2022-02-01;100.2;0.0022;;15.0
2022-03-01;100.5;0.0028000000000000004;;15.1
2022-04-01;102.1;0.016399999999999998;;15.3
2022-05-01;105.0;0.0279;;15.8
2022-06-01;110.1;0.0482;;16.5
2022-07-01;114.5;0.0407;;17.2
2022-08-01;118.2;0.0323;;17.7
2022-09-01;119.6;0.0116;;17.9
2022-10-01;119.1;-0.0046;;17.9
2022-11-01;118.7;-0.0027;;17.8
2022-12-01;119.3;0.0045000000000000005;0.20809999999999998;17.9
2023-01-01;120.9;0.0139;0.20929999999999999;18.1
2023-02-01;122.7;0.0146;0.2243;18.4
2023-03-01;124.0;0.0109;0.2341;18.6
2023-04-01;124.7;0.005600000000000001;0.221;18.7
2023-05-01;124.8;0.0008;0.1888;18.7
2023-06-01;125.3;0.004;0.1387;18.8
2023-07-01;127.5;0.0175;0.1134;19.1
2023-08-01;130.2;0.0209;0.1012;19.5
2023-09-01;131.7;0.011899999999999999;0.1015;19.8
2023-10-01;132.9;0.009000000000000001;0.1165;19.9
2023-11-01;134.2;0.0095;0.1301;20.1
2023-12-01;134.3;0.001;0.12619999999999998;20.1
2024-01-01;132.0;-0.0176;0.0911;19.8
2024-02-01;130.2;-0.013600000000000001;0.0608;19.5
2024-03-01;132.6;0.0189;0.0692;19.9
2024-04-01;136.8;0.0316;0.0969;20.5
2024-05-01;139.6;0.0204;0.1183;20.9
2024-06-01;139.5;-0.0007000000000000001;0.1131;20.9
2024-07-01;138.4;-0.008199999999999999;0.0849;20.8
2024-08-01;139.3;0.0069;0.07;20.9
2024-09-01;141.3;0.0141;0.0724;21.2
2024-10-01;143.5;0.016;0.07980000000000001;21.5
2024-11-01;145.6;0.0147;0.08539999999999999;21.8
2024-12-01;145.7;0.0003;0.08470000000000001;21.9
2025-01-01;146.3;0.004;0.10859999999999999;21.9
2025-02-01;148.6;0.0161;0.1419;22.3
2025-03-01;152.1;0.0236;0.1472;22.8
2025-04-01;155.9;0.0246;0.13949999999999999;23.4
2025-05-01;;;;
