Data;Numero_Indice_Total;Var. Mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
jan/20;120.3;0.0103;0.0768;31.4
fev/20;120.7;0.0036;0.0665;31.5
mar/20;121.7;0.0084;0.0721;31.8
abr/20;122.6;0.006999999999999999;0.0758;32.0
mai/20;122.6;0.0003;0.07339999999999999;32.0
jun/20;121.9;-0.0059;0.0717;31.8
jul/20;121.4;-0.0040999999999999995;0.0725;31.7
ago/20;121.6;0.0014000000000000002;0.0864;31.7
set/20;121.9;0.003;0.095;31.8
out/20;122.6;0.005600000000000001;0.0928;32.0
nov/20;123.6;0.0077;0.0699;32.2
dez/20;125.0;0.011699999999999999;0.05;32.6
jan/21;126.1;0.0088;0.0484;32.9
fev/21;127.6;0.0116;0.056799999999999996;33.3
mar/21;128.3;0.0055000000000000005;0.0538;33.5
abr/21;128.8;0.0039000000000000003;0.050499999999999996;33.6
mai/21;129.0;0.0018;0.052000000000000005;33.7
jun/21;129.4;0.0028000000000000004;0.061200000000000004;33.8
jul/21;131.0;0.0127;0.0791;34.2
ago/21;133.4;0.0181;0.09720000000000001;34.8
set/21;135.4;0.0151;0.1103;35.3
out/21;136.9;0.011399999999999999;0.1168;35.7
nov/21;137.5;0.0043;0.113;35.9
dez/21;139.0;0.010700000000000001;0.1119;36.3
jan/22;140.8;0.013000000000000001;0.1166;36.7
fev/22;143.6;0.0196;0.12539999999999998;37.5
mar/22;145.4;0.0126;0.1333;37.9
abr/22;148.8;0.0235;0.15539999999999998;38.8
mai/22;151.6;0.0189;0.1751;39.6
jun/22;154.8;0.0209;0.19640000000000002;40.4
jul/22;156.2;0.009399999999999999;0.1924;40.8
ago/22;157.7;0.0097;0.1826;41.2
set/22;159.5;0.011399999999999999;0.1783;41.6
out/22;160.5;0.0063;0.1723;41.9
nov/22;161.6;0.0066;0.175;42.2
dez/22;162.7;0.006999999999999999;0.1707;42.5
jan/23;164.1;0.0086;0.1655;42.8
fev/23;166.7;0.015700000000000002;0.1611;43.5
mar/23;167.0;0.0018;0.1487;43.6
abr/23;167.9;0.0055000000000000005;0.1286;43.8
mai/23;168.2;0.0016;0.1094;43.9
jun/23;169.3;0.0067;0.094;44.2
jul/23;170.4;0.0066;0.091;44.5
ago/23;173.5;0.0176;0.09960000000000001;45.3
set/23;177.3;0.022400000000000003;0.1116;46.3
out/23;180.2;0.0159;0.1222;47.0
nov/23;181.2;0.006;0.1216;47.3
dez/23;182.9;0.0092;0.124;47.7
jan/24;185.8;0.015700000000000002;0.132;48.5
fev/24;189.1;0.0177;0.13419999999999999;49.3
mar/24;191.0;0.0102;0.1437;49.8
abr/24;194.0;0.0158;0.15539999999999998;50.6
mai/24;195.7;0.0086;0.1635;51.1
jun/24;198.9;0.016200000000000003;0.1744;51.9
jul/24;201.6;0.0139;0.18289999999999998;52.6
ago/24;203.9;0.0116;0.17579999999999998;53.2
set/24;205.5;0.0075;0.15869999999999998;53.6
out/24;206.5;0.0049;0.1461;53.9
nov/24;209.0;0.0123;0.1532;54.5
dez/24;212.5;0.0166;0.1617;55.4
jan/25;214.9;0.011200000000000002;0.1564;56.1
fev/25;217.2;0.010700000000000001;0.14859999999999998;56.7
mar/25;219.1;0.0087;0.1469;57.2
abr/25;221.3;0.0102;0.1405;57.7
