Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;100.0;0.003;;4021
2022-02-01;101.5;0.0147;;4080
2022-03-01;103.5;0.02;;4162
2022-04-01;107.1;0.035;;4307
2022-05-01;111.0;0.0359;;4462
2022-06-01;114.4;0.031200000000000002;;4601
2022-07-01;115.1;0.005600000000000001;;4626
2022-08-01;114.2;-0.0070999999999999995;;4593
2022-09-01;113.0;-0.0109;;4543
2022-10-01;110.9;-0.0184;;4460
2022-11-01;108.1;-0.0253;;4347
2022-12-01;106.7;-0.013500000000000002;0.0698;4288
2023-01-01;105.2;-0.0138;0.0518;4229
2023-02-01;103.6;-0.0148;0.0212;4167
2023-03-01;102.7;-0.0088;-0.0076;4130
2023-04-01;104.5;0.0178;-0.0241;4203
2023-05-01;108.6;0.0384;-0.0217;4365
2023-06-01;111.4;0.0259;-0.0268;4478
2023-07-01;111.5;0.0014000000000000002;-0.0308;4484
2023-08-01;111.8;0.0028000000000000004;-0.021099999999999997;4496
2023-09-01;112.0;0.0019;-0.0085;4505
2023-10-01;113.0;0.0089;0.0191;4545
2023-11-01;113.0;-0.0005;0.045;4543
2023-12-01;112.9;-0.0004;0.058899999999999994;4541
2024-01-01;112.9;-0.0002;0.07339999999999999;4540
2024-02-01;112.8;-0.0013;0.08810000000000001;4534
2024-03-01;112.7;-0.0002;0.09759999999999999;4533
2024-04-01;113.1;0.0032;0.0818;4547
2024-05-01;114.1;0.0092;0.051399999999999994;4589
2024-06-01;116.0;0.0166;0.04190000000000001;4665
2024-07-01;117.4;0.0118;0.0527;4720
2024-08-01;119.1;0.0143;0.06480000000000001;4788
2024-09-01;121.6;0.021;0.0852;4889
2024-10-01;124.4;0.023399999999999997;0.1007;5003
2024-11-01;127.3;0.023399999999999997;0.12710000000000002;5120
2024-12-01;128.5;0.0092;0.1379;5167
2025-01-01;128.2;-0.0025;0.1354;5155
2025-02-01;127.1;-0.008199999999999999;0.1275;5112
2025-03-01;127.3;0.0013;0.1292;5119
2025-04-01;128.6;0.01;0.13699999999999998;5170
2025-05-01;128.6;0.0;0.1267;5170
