Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;110.9;0.0073;0.08449999999999999;4984
2022-02-01;112.1;0.0109;0.0873;5039
2022-03-01;113.1;0.009300000000000001;0.0907;5085
2022-04-01;114.8;0.0148;0.09699999999999999;5160
2022-05-01;116.5;0.0144;0.1065;5235
2022-06-01;117.6;0.0098;0.1139;5286
2022-07-01;118.8;0.0104;0.1217;5341
2022-08-01;118.8;-0.0005;0.1162;5338
2022-09-01;119.5;0.0066;0.1149;5373
2022-10-01;120.0;0.0034999999999999996;0.1093;5392
2022-11-01;121.0;0.0087;0.1091;5439
2022-12-01;121.4;0.003;0.1026;5455
2023-01-01;122.7;0.011399999999999999;0.1069;5517
2023-02-01;124.3;0.0125;0.10869999999999999;5586
2023-03-01;126.0;0.013500000000000002;0.1134;5662
2023-04-01;126.8;0.0064;0.1042;5698
2023-05-01;127.7;0.0075;0.0968;5741
2023-06-01;127.6;-0.0007000000000000001;0.08529999999999999;5737
2023-07-01;127.6;-0.0003;0.0738;5735
2023-08-01;127.5;-0.0006;0.0737;5732
2023-09-01;129.0;0.011899999999999999;0.0793;5800
2023-10-01;130.7;0.013000000000000001;0.0895;5875
2023-11-01;132.2;0.0111;0.09210000000000002;5940
2023-12-01;133.3;0.0086;0.09820000000000001;5991
2024-01-01;134.3;0.0076;0.0941;6036
2024-02-01;136.6;0.0174;0.0993;6141
2024-03-01;138.0;0.0098;0.09519999999999999;6201
2024-04-01;140.1;0.0152;0.1048;6296
2024-05-01;141.3;0.0092;0.1067;6354
2024-06-01;143.5;0.0155;0.1247;6452
2024-07-01;145.4;0.0132;0.1399;6537
2024-08-01;148.1;0.0182;0.1613;6656
2024-09-01;151.0;0.0194;0.17;6786
2024-10-01;152.7;0.0115;0.16829999999999998;6864
2024-11-01;153.5;0.0051;0.1613;6899
2024-12-01;154.0;0.0034000000000000002;0.15539999999999998;6922
2025-01-01;156.4;0.015700000000000002;0.16469999999999999;7030
2025-02-01;159.8;0.0217;0.1696;7183
2025-03-01;163.3;0.0222;0.1839;7342
2025-04-01;165.6;0.013999999999999999;0.1825;7445
2025-05-01;166.8;0.0070999999999999995;0.18;7497
