Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;125.3;0.0165;0.18309999999999998;6488
2022-02-01;126.8;0.0115;0.1793;6563
2022-03-01;127.9;0.0087;0.17329999999999998;6620
2022-04-01;127.7;-0.0009;0.155;6614
2022-05-01;128.0;0.0018;0.1467;6626
2022-06-01;128.9;0.0070999999999999995;0.1456;6673
2022-07-01;130.7;0.013999999999999999;0.153;6767
2022-08-01;132.0;0.0103;0.1447;6836
2022-09-01;133.6;0.0121;0.1435;6919
2022-10-01;135.4;0.013000000000000001;0.1402;7009
2022-11-01;137.8;0.018000000000000002;0.1421;7135
2022-12-01;139.6;0.0129;0.1322;7227
2023-01-01;141.1;0.011000000000000001;0.1261;7306
2023-02-01;142.5;0.0102;0.1246;7381
2023-03-01;144.4;0.013000000000000001;0.1294;7476
2023-04-01;146.7;0.0158;0.1482;7594
2023-05-01;149.1;0.0165;0.165;7720
2023-06-01;151.5;0.016;0.1753;7843
2023-07-01;153.6;0.0138;0.1751;7951
2023-08-01;155.2;0.0109;0.17579999999999998;8038
2023-09-01;157.2;0.0125;0.17620000000000002;8138
2023-10-01;159.2;0.0131;0.1764;8245
2023-11-01;161.1;0.0118;0.16920000000000002;8342
2023-12-01;161.9;0.0049;0.16;8383
2024-01-01;162.8;0.0053;0.1535;8427
2024-02-01;164.3;0.0092;0.1523;8505
2024-03-01;165.7;0.009000000000000001;0.1478;8581
2024-04-01;168.1;0.013999999999999999;0.1458;8701
2024-05-01;170.2;0.0127;0.14150000000000001;8812
2024-06-01;172.1;0.011399999999999999;0.1363;8912
2024-07-01;172.0;-0.0005;0.12029999999999999;8908
2024-08-01;171.7;-0.0022;0.1057;8888
2024-09-01;171.7;0.0001;0.0922;8889
2024-10-01;173.5;0.0106;0.08960000000000001;8983
2024-11-01;176.1;0.015;0.09300000000000001;9118
2024-12-01;178.9;0.0159;0.105;9263
2025-01-01;180.4;0.0085;0.1085;9342
2025-02-01;181.1;0.004;0.10279999999999999;9379
2025-03-01;180.4;-0.0042;0.0883;9339
2025-04-01;179.7;-0.0034999999999999996;0.0696;9307
2025-05-01;179.9;0.0009;0.0571;9315
