Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;100.0;0.0129;;4520
2022-02-01;101.3;0.0127;;4578
2022-03-01;102.7;0.013999999999999999;;4642
2022-04-01;103.6;0.0085;;4681
2022-05-01;104.0;0.004699999999999999;;4703
2022-06-01;104.0;-0.0007000000000000001;;4700
2022-07-01;103.9;-0.0004;;4698
2022-08-01;104.3;0.0034999999999999996;;4715
2022-09-01;105.0;0.0064;;4745
2022-10-01;105.9;0.0089;;4788
2022-11-01;106.3;0.0038;;4806
2022-12-01;106.9;0.0054;0.0828;4832
2023-01-01;107.4;0.0045000000000000005;0.0737;4854
2023-02-01;108.9;0.0139;0.075;4921
2023-03-01;109.8;0.0087;0.0694;4964
2023-04-01;111.0;0.0104;0.07139999999999999;5016
2023-05-01;110.4;-0.005;0.0611;4991
2023-06-01;110.4;0.0004;0.0622;4992
2023-07-01;109.9;-0.0046;0.057699999999999994;4969
2023-08-01;110.7;0.0068000000000000005;0.061200000000000004;5003
2023-09-01;111.6;0.0084;0.0633;5045
2023-10-01;113.3;0.0148;0.0695;5120
2023-11-01;114.2;0.0079;0.0738;5161
2023-12-01;114.7;0.0044;0.0728;5184
2024-01-01;115.7;0.0085;0.0771;5228
2024-02-01;116.8;0.01;0.0729;5280
2024-03-01;118.1;0.0108;0.0751;5337
2024-04-01;119.1;0.0085;0.0731;5382
2024-05-01;120.3;0.0103;0.0895;5437
2024-06-01;121.2;0.0079;0.0978;5480
2024-07-01;122.5;0.0106;0.11449999999999999;5539
2024-08-01;123.6;0.0087;0.1166;5587
2024-09-01;124.5;0.0073;0.11539999999999999;5628
2024-10-01;124.4;-0.0007000000000000001;0.0983;5624
2024-11-01;124.6;0.0015;0.09140000000000001;5632
2024-12-01;124.4;-0.0013;0.0851;5625
2025-01-01;125.1;0.0054;0.0818;5655
2025-02-01;125.9;0.0062;0.07769999999999999;5690
2025-03-01;127.8;0.0149;0.0821;5775
2025-04-01;128.5;0.0058;0.07919999999999999;5808
2025-05-01;129.7;0.009300000000000001;0.0782;5862
