Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;159.6;0.0049;0.020099999999999996;5282
2022-02-01;161.0;0.0089;0.0327;5329
2022-03-01;162.3;0.0083;0.04;5373
2022-04-01;163.2;0.0055000000000000005;0.0391;5403
2022-05-01;164.0;0.0049;0.0352;5429
2022-06-01;165.3;0.0077;0.039;5471
2022-07-01;167.2;0.0118;0.052199999999999996;5535
2022-08-01;168.6;0.008199999999999999;0.0629;5581
2022-09-01;169.4;0.0046;0.0678;5606
2022-10-01;169.2;-0.001;0.0664;5601
2022-11-01;169.1;-0.0005;0.067;5597
2022-12-01;168.3;-0.0048;0.059800000000000006;5571
2023-01-01;169.1;0.0046;0.0596;5597
2023-02-01;170.7;0.0095;0.0602;5650
2023-03-01;172.7;0.012;0.0641;5718
2023-04-01;174.2;0.0085;0.0673;5766
2023-05-01;174.8;0.0033;0.06570000000000001;5785
2023-06-01;175.9;0.0066;0.0644;5824
2023-07-01;177.3;0.0076;0.06;5868
2023-08-01;178.3;0.0060999999999999995;0.057800000000000004;5903
2023-09-01;179.0;0.0034999999999999996;0.0567;5924
2023-10-01;179.0;-0.0001;0.057699999999999994;5924
2023-11-01;178.6;-0.002;0.0562;5912
2023-12-01;178.0;-0.0033;0.057699999999999994;5892
2024-01-01;178.4;0.0024;0.0554;5906
2024-02-01;180.5;0.0115;0.0575;5974
2024-03-01;182.7;0.0126;0.057999999999999996;6049
2024-04-01;184.0;0.0070999999999999995;0.0565;6092
2024-05-01;186.2;0.0118;0.0654;6164
2024-06-01;189.1;0.0154;0.0747;6259
2024-07-01;193.7;0.024399999999999998;0.0926;6411
2024-08-01;197.7;0.0207;0.1085;6544
2024-09-01;201.0;0.0167;0.12300000000000001;6653
2024-10-01;203.2;0.011200000000000002;0.13570000000000002;6728
2024-11-01;204.4;0.005699999999999999;0.1445;6766
2024-12-01;207.2;0.013500000000000002;0.1638;6857
2025-01-01;210.5;0.016399999999999998;0.18;6970
2025-02-01;215.0;0.021;0.1911;7116
2025-03-01;218.6;0.0169;0.1962;7236
2025-04-01;222.0;0.015600000000000001;0.20629999999999998;7349
2025-05-01;225.0;0.013600000000000001;0.20850000000000002;7449
