Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;100.0;0.0075;;5230
2022-02-01;101.2;0.0116;;5291
2022-03-01;102.9;0.0173;;5382
2022-04-01;106.8;0.0377;;5585
2022-05-01;111.0;0.0393;;5805
2022-06-01;114.9;0.0353;;6009
2022-07-01;116.9;0.0172;;6112
2022-08-01;118.6;0.014499999999999999;;6201
2022-09-01;119.8;0.0103;;6265
2022-10-01;120.6;0.0068000000000000005;;6308
2022-11-01;121.5;0.0078000000000000005;;6357
2022-12-01;122.2;0.0054;0.2311;6391
2023-01-01;122.4;0.0013;0.2235;6399
2023-02-01;122.2;-0.0012;0.20800000000000002;6391
2023-03-01;124.1;0.015600000000000001;0.20600000000000002;6491
2023-04-01;126.6;0.0199;0.18530000000000002;6620
2023-05-01;128.9;0.0182;0.1613;6741
2023-06-01;129.2;0.0028000000000000004;0.1249;6760
2023-07-01;128.9;-0.0023;0.10339999999999999;6744
2023-08-01;129.0;0.0002;0.08779999999999999;6746
2023-09-01;128.5;-0.0036;0.0729;6722
2023-10-01;129.7;0.009000000000000001;0.07519999999999999;6782
2023-11-01;131.2;0.0116;0.07919999999999999;6860
2023-12-01;133.0;0.0143;0.08869999999999999;6958
2024-01-01;134.7;0.0123;0.1008;7044
2024-02-01;135.9;0.0088;0.1118;7106
2024-03-01;136.7;0.006500000000000001;0.10189999999999999;7152
2024-04-01;137.5;0.0055000000000000005;0.0863;7191
2024-05-01;138.3;0.0062;0.07339999999999999;7236
2024-06-01;140.4;0.0146;0.086;7341
2024-07-01;142.8;0.0176;0.10769999999999999;7471
2024-08-01;145.3;0.0173;0.1265;7599
2024-09-01;146.6;0.0089;0.1406;7667
2024-10-01;145.7;-0.0058;0.12390000000000001;7622
2024-11-01;144.8;-0.0066;0.10369999999999999;7572
2024-12-01;144.6;-0.0008;0.0873;7565
2025-01-01;146.0;0.009300000000000001;0.084;7636
2025-02-01;147.7;0.011699999999999999;0.08710000000000001;7725
2025-03-01;149.0;0.009000000000000001;0.0898;7795
2025-04-01;152.4;0.0229;0.10869999999999999;7973
2025-05-01;154.2;0.0116;0.11470000000000001;8066
