Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2022-01-01;100.0;-0.0022;;4138
2022-02-01;100.9;0.0086;;4174
2022-03-01;102.0;0.011399999999999999;;4221
2022-04-01;103.9;0.0182;;4298
2022-05-01;107.8;0.0379;;4461
2022-06-01;111.9;0.0377;;4629
2022-07-01;114.5;0.0235;;4738
2022-08-01;114.8;0.0022;;4748
2022-09-01;114.7;-0.0008;;4744
2022-10-01;116.3;0.0144;;4813
2022-11-01;118.7;0.0203;;4910
2022-12-01;121.0;0.019299999999999998;0.2069;5005
2023-01-01;122.4;0.011899999999999999;0.22399999999999998;5065
2023-02-01;123.4;0.0084;0.2238;5107
2023-03-01;125.2;0.014499999999999999;0.2275;5181
2023-04-01;126.1;0.0073;0.2144;5219
2023-05-01;126.0;-0.0011;0.16879999999999998;5214
2023-06-01;125.1;-0.0075;0.11789999999999999;5175
2023-07-01;125.0;-0.0003;0.0919;5174
2023-08-01;125.5;0.004;0.094;5194
2023-09-01;126.3;0.0059;0.1013;5225
2023-10-01;127.0;0.0058;0.0919;5255
2023-11-01;127.5;0.0040999999999999995;0.0746;5277
2023-12-01;128.1;0.0043;0.0587;5299
2024-01-01;128.4;0.0029;0.049400000000000006;5315
2024-02-01;126.5;-0.015;0.025099999999999997;5235
2024-03-01;126.0;-0.0044;0.006;5213
2024-04-01;125.0;-0.0075;-0.0088;5174
2024-05-01;126.6;0.0126;0.0048;5239
2024-06-01;126.5;-0.0012;0.0111;5232
2024-07-01;127.8;0.0103;0.0218;5286
2024-08-01;128.1;0.003;0.0207;5302
2024-09-01;128.6;0.0037;0.018500000000000003;5321
2024-10-01;128.3;-0.0023;0.0103;5309
2024-11-01;129.7;0.010700000000000001;0.0169;5366
2024-12-01;131.7;0.0152;0.027999999999999997;5448
2025-01-01;133.9;0.0172;0.0426;5541
2025-02-01;135.0;0.0079;0.0667;5585
2025-03-01;136.1;0.0087;0.0808;5634
2025-04-01;136.1;-0.0002;0.08869999999999999;5633
2025-05-01;136.4;0.0018;0.07719999999999999;5643
