Data;Numero_Indice_Total;Var. Mensal (%) Total;Var. em 12 meses (%)Total;Preço médio (R$/m²) Total
2020-01-01;195.5;0.0;-0.0123;6228
2020-02-01;194.9;-0.0032;-0.0143;6208
2020-03-01;193.8;-0.0055000000000000005;-0.0155;6174
2020-04-01;193.4;-0.0021;-0.0161;6161
2020-05-01;190.6;-0.0147;-0.0263;6070
2020-06-01;187.9;-0.0138;-0.04019999999999999;5986
2020-07-01;184.7;-0.0172;-0.0554;5883
2020-08-01;185.9;0.0067;-0.0482;5923
2020-09-01;188.2;0.012;-0.0349;5994
2020-10-01;191.3;0.0168;-0.0165;6094
2020-11-01;193.7;0.012199999999999999;-0.005600000000000001;6168
2020-12-01;194.8;0.0059;-0.0038;6204
2021-01-01;195.0;0.001;-0.0028000000000000004;6210
2021-02-01;194.9;-0.0006;-0.0002;6206
2021-03-01;194.9;0.0001;0.0053;6207
2021-04-01;195.4;0.0029;0.0104;6225
2021-05-01;196.5;0.005600000000000001;0.031200000000000002;6259
2021-06-01;197.6;0.0054;0.0513;6293
2021-07-01;198.7;0.0059;0.076;6330
2021-08-01;199.5;0.0038;0.0728;6354
2021-09-01;200.1;0.0033;0.0636;6375
2021-10-01;200.9;0.0039000000000000003;0.0501;6400
2021-11-01;202.1;0.006;0.0437;6438
2021-12-01;203.0;0.0042;0.042;6465
2022-01-01;203.6;0.003;0.0441;6484
2022-02-01;204.3;0.0033;0.0482;6506
2022-03-01;205.1;0.004;0.052300000000000006;6532
2022-04-01;207.6;0.0125;0.0625;6614
2022-05-01;210.3;0.0126;0.0699;6697
2022-06-01;213.1;0.0137;0.0787;6789
2022-07-01;214.2;0.005;0.07780000000000001;6823
2022-08-01;215.1;0.004;0.078;6850
2022-09-01;216.8;0.008199999999999999;0.0834;6906
2022-10-01;219.7;0.0132;0.0934;6997
2022-11-01;223.5;0.0175;0.106;7120
2022-12-01;226.0;0.0111;0.11349999999999999;7199
2023-01-01;227.2;0.0051;0.1158;7236
2023-02-01;227.1;-0.0002;0.1119;7234
2023-03-01;228.4;0.0059;0.114;7276
2023-04-01;230.4;0.0085;0.1096;7338
2023-05-01;232.5;0.009300000000000001;0.106;7407
2023-06-01;234.0;0.0064;0.0981;7454
2023-07-01;234.7;0.0028000000000000004;0.09570000000000001;7476
2023-08-01;235.1;0.0016;0.0931;7488
2023-09-01;234.5;-0.0024;0.0815;7469
2023-10-01;234.9;0.0016;0.0691;7481
2023-11-01;235.8;0.0039000000000000003;0.0548;7510
2023-12-01;237.8;0.0084;0.0521;7573
2024-01-01;239.1;0.0054;0.0524;7615
2024-02-01;241.5;0.0104;0.0636;7694
2024-03-01;244.7;0.0131;0.0712;7794
2024-04-01;247.7;0.0124;0.07519999999999999;7891
2024-05-01;249.2;0.006;0.0717;7938
2024-06-01;249.1;-0.0003;0.0645;7935
2024-07-01;250.0;0.0036;0.0654;7964
2024-08-01;250.7;0.0025;0.0663;7984
2024-09-01;252.1;0.005600000000000001;0.07490000000000001;8029
2024-10-01;253.1;0.004;0.0775;8061
2024-11-01;253.3;0.001;0.07440000000000001;8069
2024-12-01;253.6;0.0009;0.0664;8076
2025-01-01;253.1;-0.0018;0.0587;8062
2025-02-01;253.7;0.0025;0.050499999999999996;8082
2025-03-01;254.1;0.0016;0.038599999999999995;8095
2025-04-01;254.7;0.0021;0.0281;8112
2025-05-01;256.1;0.0055000000000000005;0.0276;8157
